Tarih,TP_BISTOPKREDI_QBE1
2000-01-01,125.8
2000-04-01,122.2
2000-07-01,121.9
2000-10-01,118.4
2001-01-01,120.0
2001-04-01,119.3
2001-07-01,120.8
2001-10-01,116.7
2002-01-01,117.2
2002-04-01,116.8
2002-07-01,118.1
2002-10-01,116.2
2003-01-01,118.4
2003-04-01,118.6
2003-07-01,116.1
2003-10-01,110.3
2004-01-01,114.8
2004-04-01,112.1
2004-07-01,111.1
2004-10-01,106.6
2005-01-01,110.0
2005-04-01,110.9
2005-07-01,108.3
2005-10-01,104.4
2006-01-01,104.8
2006-04-01,101.4
2006-07-01,101.2
2006-10-01,96.8
2007-01-01,97.4
2007-04-01,94.8
2007-07-01,95.4
2007-10-01,90.2
2008-01-01,93.6
2008-04-01,90.9
2008-07-01,92.6
2008-10-01,98.4
2009-01-01,103.5
2009-04-01,105.8
2009-07-01,108.0
2009-10-01,105.8
2010-01-01,110.1
2010-04-01,110.9
2010-07-01,110.3
2010-10-01,104.6
2011-01-01,106.2
2011-04-01,105.6
2011-07-01,107.5
2011-10-01,106.7
2012-01-01,111.7
2012-04-01,114.1
2012-07-01,115.8
2012-10-01,116.4
2013-01-01,119.6
2013-04-01,118.6
2013-07-01,116.9
2013-10-01,114.1
2014-01-01,122.4
2014-04-01,125.1
2014-07-01,125.9
2014-10-01,125.8
2015-01-01,131.9
2015-04-01,125.2
2015-07-01,125.3
2015-10-01,122.5
2016-01-01,128.1
2016-04-01,130.4
2016-07-01,129.6
2016-10-01,123.7
2017-01-01,123.1
2017-04-01,120.1
2017-07-01,120.3
2017-10-01,117.1
2018-01-01,118.7
2018-04-01,118.1
2018-07-01,116.1
2018-10-01,114.0
2019-01-01,118.8
2019-04-01,120.3
2019-07-01,123.0
2019-10-01,115.7
2020-01-01,119.2
2020-04-01,131.1
2020-07-01,131.5
2020-10-01,132.2
2021-01-01,132.2
2021-04-01,127.9
2021-07-01,125.9
2021-10-01,122.3
2022-01-01,115.3
2022-04-01,106.7
2022-07-01,99.6
2022-10-01,95.5
2023-01-01,97.4
2023-04-01,96.3
2023-07-01,95.0
2023-10-01,99.1
2024-01-01,100.8
2024-04-01,99.6
2024-07-01,100.4
2024-10-01,98.9
2025-01-01,99.3
