Tarih,TP_BISTOPKREDI_QTH2
2000-01-01,55.7
2000-04-01,54.1
2000-07-01,52.4
2000-10-01,50.5
2001-01-01,49.0
2001-04-01,47.2
2001-07-01,47.2
2001-10-01,47.2
2002-01-01,47.9
2002-04-01,48.6
2002-07-01,49.3
2002-10-01,49.5
2003-01-01,49.8
2003-04-01,50.4
2003-07-01,50.8
2003-10-01,51.7
2004-01-01,52.5
2004-04-01,52.9
2004-07-01,53.2
2004-10-01,53.4
2005-01-01,53.6
2005-04-01,53.9
2005-07-01,54.3
2005-10-01,55.0
2006-01-01,54.5
2006-04-01,53.0
2006-07-01,53.7
2006-10-01,54.1
2007-01-01,53.8
2007-04-01,54.2
2007-07-01,54.3
2007-10-01,54.0
2008-01-01,53.5
2008-04-01,53.6
2008-07-01,53.4
2008-10-01,54.5
2009-01-01,55.9
2009-04-01,58.2
2009-07-01,59.9
2009-10-01,61.1
2010-01-01,60.6
2010-04-01,60.7
2010-07-01,61.3
2010-10-01,63.5
2011-01-01,64.8
2011-04-01,65.5
2011-07-01,67.2
2011-10-01,70.9
2012-01-01,72.9
2012-04-01,74.2
2012-07-01,75.7
2012-10-01,76.2
2013-01-01,76.4
2013-04-01,78.4
2013-07-01,79.4
2013-10-01,81.9
2014-01-01,82.3
2014-04-01,82.8
2014-07-01,83.8
2014-10-01,85.1
2015-01-01,85.1
2015-04-01,85.6
2015-07-01,85.6
2015-10-01,86.6
2016-01-01,85.8
2016-04-01,85.2
2016-07-01,84.8
2016-10-01,84.7
2017-01-01,83.4
2017-04-01,82.9
2017-07-01,82.7
2017-10-01,83.2
2018-01-01,82.6
2018-04-01,82.4
2018-07-01,82.4
2018-10-01,83.3
2019-01-01,82.9
2019-04-01,82.8
2019-07-01,83.5
2019-10-01,84.7
2020-01-01,85.1
2020-04-01,89.0
2020-07-01,92.2
2020-10-01,95.3
2021-01-01,96.5
2021-04-01,95.1
2021-07-01,95.2
2021-10-01,95.7
2022-01-01,94.8
2022-04-01,93.8
2022-07-01,92.6
2022-10-01,92.6
2023-01-01,91.7
2023-04-01,91.7
2023-07-01,91.8
2023-10-01,92.3
2024-01-01,91.7
2024-04-01,90.5
2024-07-01,89.8
2024-10-01,89.2
2025-01-01,88.2
