Tarih,TP_BISTOPKREDI_QIT1
2000-01-01,116.3
2000-04-01,116.1
2000-07-01,113.7
2000-10-01,112.3
2001-01-01,113.5
2001-04-01,112.9
2001-07-01,112.0
2001-10-01,112.7
2002-01-01,113.2
2002-04-01,113.4
2002-07-01,114.3
2002-10-01,111.6
2003-01-01,113.5
2003-04-01,114.1
2003-07-01,113.7
2003-10-01,109.6
2004-01-01,113.1
2004-04-01,113.9
2004-07-01,114.1
2004-10-01,110.2
2005-01-01,113.3
2005-04-01,116.9
2005-07-01,114.8
2005-10-01,111.8
2006-01-01,112.1
2006-04-01,111.9
2006-07-01,112.2
2006-10-01,108.9
2007-01-01,109.1
2007-04-01,107.4
2007-07-01,106.9
2007-10-01,104.6
2008-01-01,107.2
2008-04-01,104.3
2008-07-01,104.9
2008-10-01,107.4
2009-01-01,114.0
2009-04-01,116.4
2009-07-01,121.5
2009-10-01,120.1
2010-01-01,122.8
2010-04-01,121.8
2010-07-01,123.5
2010-10-01,118.8
2011-01-01,119.1
2011-04-01,119.8
2011-07-01,113.8
2011-10-01,111.5
2012-01-01,121.9
2012-04-01,121.0
2012-07-01,126.2
2012-10-01,129.7
2013-01-01,132.3
2013-04-01,136.2
2013-07-01,135.5
2013-10-01,137.8
2014-01-01,144.1
2014-04-01,149.4
2014-07-01,148.6
2014-10-01,149.8
2015-01-01,157.1
2015-04-01,150.7
2015-07-01,152.3
2015-10-01,151.3
2016-01-01,155.3
2016-04-01,155.4
2016-07-01,152.4
2016-10-01,148.2
2017-01-01,146.8
2017-04-01,148.0
2017-07-01,147.3
2017-10-01,145.2
2018-01-01,147.7
2018-04-01,142.2
2018-07-01,139.3
2018-10-01,140.5
2019-01-01,142.6
2019-04-01,146.3
2019-07-01,152.7
2019-10-01,147.3
2020-01-01,148.6
2020-04-01,162.2
2020-07-01,170.6
2020-10-01,174.6
2021-01-01,176.1
2021-04-01,169.6
2021-07-01,166.9
2021-10-01,159.4
2022-01-01,154.8
2022-04-01,143.9
2022-07-01,133.7
2022-10-01,131.5
2023-01-01,132.4
2023-04-01,133.4
2023-07-01,128.2
2023-10-01,132.8
2024-01-01,133.1
2024-04-01,133.2
2024-07-01,136.3
2024-10-01,135.6
2025-01-01,136.8
