Tarih,TP_BISTOPKREDI_QSE2
2000-01-01,42.2
2000-04-01,42.3
2000-07-01,41.9
2000-10-01,41.7
2001-01-01,42.8
2001-04-01,43.2
2001-07-01,45.0
2001-10-01,47.1
2002-01-01,47.3
2002-04-01,47.6
2002-07-01,47.5
2002-10-01,47.7
2003-01-01,49.1
2003-04-01,51.5
2003-07-01,52.9
2003-10-01,54.6
2004-01-01,54.0
2004-04-01,53.1
2004-07-01,52.6
2004-10-01,51.8
2005-01-01,50.9
2005-04-01,50.3
2005-07-01,49.5
2005-10-01,48.8
2006-01-01,47.3
2006-04-01,46.1
2006-07-01,45.3
2006-10-01,44.7
2007-01-01,43.7
2007-04-01,43.1
2007-07-01,43.5
2007-10-01,43.7
2008-01-01,43.4
2008-04-01,44.4
2008-07-01,45.4
2008-10-01,47.0
2009-01-01,48.2
2009-04-01,49.7
2009-07-01,50.8
2009-10-01,51.1
2010-01-01,50.1
2010-04-01,50.5
2010-07-01,51.4
2010-10-01,52.2
2011-01-01,52.6
2011-04-01,54.6
2011-07-01,55.8
2011-10-01,57.6
2012-01-01,58.2
2012-04-01,59.2
2012-07-01,61.2
2012-10-01,63.2
2013-01-01,64.4
2013-04-01,65.1
2013-07-01,65.5
2013-10-01,66.0
2014-01-01,66.0
2014-04-01,66.5
2014-07-01,66.8
2014-10-01,66.9
2015-01-01,66.2
2015-04-01,65.5
2015-07-01,65.0
2015-10-01,64.7
2016-01-01,64.1
2016-04-01,64.3
2016-07-01,64.5
2016-10-01,64.0
2017-01-01,62.9
2017-04-01,62.6
2017-07-01,62.4
2017-10-01,62.4
2018-01-01,61.9
2018-04-01,61.0
2018-07-01,59.8
2018-10-01,59.1
2019-01-01,58.1
2019-04-01,57.7
2019-07-01,57.4
2019-10-01,57.7
2020-01-01,56.7
2020-04-01,58.1
2020-07-01,59.6
2020-10-01,60.8
2021-01-01,60.4
2021-04-01,57.2
2021-07-01,55.0
2021-10-01,53.1
2022-01-01,50.6
2022-04-01,48.1
2022-07-01,46.2
2022-10-01,44.6
2023-01-01,44.2
2023-04-01,45.1
2023-07-01,45.8
2023-10-01,46.1
2024-01-01,45.3
2024-04-01,44.6
2024-07-01,44.4
2024-10-01,44.3
2025-01-01,44.2
