Tarih,TP_BISTOPKREDI_QGB3
2000-01-01,66.9
2000-04-01,69.2
2000-07-01,70.4
2000-10-01,70.7
2001-01-01,73.7
2001-04-01,73.6
2001-07-01,73.8
2001-10-01,75.2
2002-01-01,76.2
2002-04-01,77.2
2002-07-01,80.6
2002-10-01,79.4
2003-01-01,76.4
2003-04-01,77.4
2003-07-01,76.5
2003-10-01,74.8
2004-01-01,73.3
2004-04-01,72.3
2004-07-01,73.0
2004-10-01,72.8
2005-01-01,73.2
2005-04-01,75.9
2005-07-01,77.3
2005-10-01,78.2
2006-01-01,78.9
2006-04-01,80.0
2006-07-01,81.6
2006-10-01,80.6
2007-01-01,78.4
2007-04-01,77.9
2007-07-01,80.0
2007-10-01,81.2
2008-01-01,84.0
2008-04-01,83.2
2008-07-01,83.8
2008-10-01,90.0
2009-01-01,89.2
2009-04-01,85.1
2009-07-01,88.0
2009-10-01,87.2
2010-01-01,88.1
2010-04-01,85.3
2010-07-01,85.4
2010-10-01,82.1
2011-01-01,81.9
2011-04-01,81.7
2011-07-01,81.2
2011-10-01,80.1
2012-01-01,82.9
2012-04-01,83.7
2012-07-01,84.1
2012-10-01,82.3
2013-01-01,80.1
2013-04-01,81.8
2013-07-01,79.6
2013-10-01,77.8
2014-01-01,75.7
2014-04-01,73.9
2014-07-01,73.0
2014-10-01,71.7
2015-01-01,72.5
2015-04-01,69.2
2015-07-01,69.3
2015-10-01,69.6
2016-01-01,70.2
2016-04-01,73.3
2016-07-01,75.5
2016-10-01,75.2
2017-01-01,75.6
2017-04-01,74.8
2017-07-01,75.4
2017-10-01,76.5
2018-01-01,74.6
2018-04-01,74.0
2018-07-01,72.3
2018-10-01,71.7
2019-01-01,70.8
2019-04-01,71.7
2019-07-01,73.0
2019-10-01,71.3
2020-01-01,74.8
2020-04-01,80.7
2020-07-01,82.1
2020-10-01,83.8
2021-01-01,83.4
2021-04-01,80.9
2021-07-01,78.2
2021-10-01,76.1
2022-01-01,70.8
2022-04-01,68.8
2022-07-01,68.4
2022-10-01,66.1
2023-01-01,68.2
2023-04-01,65.4
2023-07-01,64.6
2023-10-01,64.0
2024-01-01,62.2
2024-04-01,62.0
2024-07-01,61.4
2024-10-01,61.2
2025-01-01,59.7
