Tarih,TP_BISTOPKREDI_QDK3
2000-01-01,76.6
2000-04-01,78.7
2000-07-01,82.1
2000-10-01,81.7
2001-01-01,85.1
2001-04-01,87.8
2001-07-01,91.0
2001-10-01,92.7
2002-01-01,92.0
2002-04-01,89.8
2002-07-01,88.3
2002-10-01,85.5
2003-01-01,88.4
2003-04-01,88.9
2003-07-01,88.8
2003-10-01,87.2
2004-01-01,90.1
2004-04-01,91.1
2004-07-01,91.5
2004-10-01,91.9
2005-01-01,96.2
2005-04-01,97.8
2005-07-01,98.5
2005-10-01,103.4
2006-01-01,107.6
2006-04-01,111.0
2006-07-01,114.5
2006-10-01,118.2
2007-01-01,119.8
2007-04-01,120.3
2007-07-01,120.6
2007-10-01,124.7
2008-01-01,127.3
2008-04-01,129.4
2008-07-01,129.5
2008-10-01,131.2
2009-01-01,134.5
2009-04-01,134.8
2009-07-01,138.1
2009-10-01,141.0
2010-01-01,141.4
2010-04-01,139.7
2010-07-01,135.7
2010-10-01,132.2
2011-01-01,133.4
2011-04-01,134.3
2011-07-01,139.0
2011-10-01,140.3
2012-01-01,142.5
2012-04-01,142.9
2012-07-01,139.7
2012-10-01,141.5
2013-01-01,136.8
2013-04-01,136.0
2013-07-01,135.5
2013-10-01,130.6
2014-01-01,131.5
2014-04-01,129.3
2014-07-01,136.2
2014-10-01,135.8
2015-01-01,138.0
2015-04-01,137.1
2015-07-01,140.5
2015-10-01,140.1
2016-01-01,141.1
2016-04-01,142.4
2016-07-01,144.7
2016-10-01,141.9
2017-01-01,142.1
2017-04-01,140.6
2017-07-01,137.3
2017-10-01,138.3
2018-01-01,138.6
2018-04-01,140.8
2018-07-01,141.1
2018-10-01,139.8
2019-01-01,143.6
2019-04-01,146.2
2019-07-01,149.2
2019-10-01,151.6
2020-01-01,137.5
2020-04-01,139.7
2020-07-01,125.2
2020-10-01,126.1
2021-01-01,128.3
2021-04-01,127.6
2021-07-01,129.1
2021-10-01,127.4
2022-01-01,128.2
2022-04-01,129.8
2022-07-01,134.8
2022-10-01,135.2
2023-01-01,135.1
2023-04-01,128.9
2023-07-01,132.1
2023-10-01,135.3
2024-01-01,135.5
2024-04-01,135.6
2024-07-01,133.6
2024-10-01,133.4
2025-01-01,131.9
