Tarih,TP_BISTOPKREDI_QES2
2000-01-01,43.1
2000-04-01,44.2
2000-07-01,44.5
2000-10-01,45.6
2001-01-01,45.8
2001-04-01,46.8
2001-07-01,46.8
2001-10-01,47.3
2002-01-01,48.2
2002-04-01,49.8
2002-07-01,50.3
2002-10-01,51.2
2003-01-01,52.0
2003-04-01,54.0
2003-07-01,54.8
2003-10-01,56.7
2004-01-01,58.0
2004-04-01,60.5
2004-07-01,61.5
2004-10-01,63.5
2005-01-01,64.8
2005-04-01,67.6
2005-07-01,68.5
2005-10-01,70.9
2006-01-01,72.5
2006-04-01,75.3
2006-07-01,76.1
2006-10-01,78.2
2007-01-01,79.1
2007-04-01,81.1
2007-07-01,81.4
2007-10-01,81.9
2008-01-01,82.0
2008-04-01,83.0
2008-07-01,82.4
2008-10-01,82.8
2009-01-01,82.7
2009-04-01,84.0
2009-07-01,84.3
2009-10-01,85.0
2010-01-01,84.6
2010-04-01,85.7
2010-07-01,84.4
2010-10-01,84.3
2011-01-01,83.3
2011-04-01,83.4
2011-07-01,82.5
2011-10-01,82.4
2012-01-01,81.8
2012-04-01,82.1
2012-07-01,81.4
2012-10-01,81.4
2013-01-01,80.4
2013-04-01,80.2
2013-07-01,78.8
2013-10-01,77.6
2014-01-01,76.3
2014-04-01,76.2
2014-07-01,74.5
2014-10-01,73.1
2015-01-01,71.7
2015-04-01,71.0
2015-07-01,68.9
2015-10-01,67.6
2016-01-01,66.4
2016-04-01,66.5
2016-07-01,64.9
2016-10-01,64.1
2017-01-01,63.2
2017-04-01,63.1
2017-07-01,61.6
2017-10-01,60.9
2018-01-01,60.2
2018-04-01,60.4
2018-07-01,59.3
2018-10-01,58.6
2019-01-01,57.9
2019-04-01,58.2
2019-07-01,57.1
2019-10-01,56.5
2020-01-01,56.7
2020-04-01,60.3
2020-07-01,60.8
2020-10-01,62.1
2021-01-01,62.1
2021-04-01,60.4
2021-07-01,58.6
2021-10-01,57.2
2022-01-01,55.7
2022-04-01,55.2
2022-07-01,53.1
2022-10-01,51.5
2023-01-01,49.6
2023-04-01,49.1
2023-07-01,47.2
2023-10-01,46.1
2024-01-01,45.2
2024-04-01,45.4
2024-07-01,44.2
2024-10-01,43.8
2025-01-01,43.5
