Tarih,TP_BISTOPKREDI_QAT2
2000-01-01,68.3
2000-04-01,69.8
2000-07-01,69.5
2000-10-01,70.2
2001-01-01,70.3
2001-04-01,71.6
2001-07-01,72.6
2001-10-01,73.9
2002-01-01,75.5
2002-04-01,78.3
2002-07-01,80.4
2002-10-01,81.4
2003-01-01,83.0
2003-04-01,85.9
2003-07-01,88.1
2003-10-01,90.6
2004-01-01,92.3
2004-04-01,94.0
2004-07-01,95.4
2004-10-01,96.8
2005-01-01,97.8
2005-04-01,99.7
2005-07-01,100.2
2005-10-01,101.3
2006-01-01,101.5
2006-04-01,104.3
2006-07-01,105.3
2006-10-01,106.1
2007-01-01,105.8
2007-04-01,108.3
2007-07-01,108.1
2007-10-01,109.2
2008-01-01,109.3
2008-04-01,110.0
2008-07-01,108.4
2008-10-01,107.3
2009-01-01,106.7
2009-04-01,108.4
2009-07-01,110.8
2009-10-01,112.2
2010-01-01,112.9
2010-04-01,112.9
2010-07-01,111.7
2010-10-01,111.1
2011-01-01,110.6
2011-04-01,110.7
2011-07-01,109.6
2011-10-01,109.0
2012-01-01,108.8
2012-04-01,109.5
2012-07-01,109.5
2012-10-01,109.9
2013-01-01,110.0
2013-04-01,111.6
2013-07-01,111.3
2013-10-01,112.2
2014-01-01,112.2
2014-04-01,113.7
2014-07-01,114.3
2014-10-01,115.9
2015-01-01,117.4
2015-04-01,119.7
2015-07-01,120.2
2015-10-01,121.0
2016-01-01,122.1
2016-04-01,123.5
2016-07-01,124.4
2016-10-01,123.8
2017-01-01,122.8
2017-04-01,123.0
2017-07-01,122.3
2017-10-01,123.0
2018-01-01,123.4
2018-04-01,123.3
2018-07-01,122.4
2018-10-01,122.3
2019-01-01,121.6
2019-04-01,120.6
2019-07-01,119.2
2019-10-01,119.0
2020-01-01,119.0
2020-04-01,120.9
2020-07-01,122.0
2020-10-01,122.3
2021-01-01,121.9
2021-04-01,119.4
2021-07-01,118.2
2021-10-01,117.7
2022-01-01,116.3
2022-04-01,115.0
2022-07-01,112.4
2022-10-01,110.7
2023-01-01,109.4
2023-04-01,109.9
2023-07-01,109.6
2023-10-01,109.6
2024-01-01,110.2
2024-04-01,111.2
2024-07-01,111.4
2024-10-01,112.1
2025-01-01,112.7
