Tarih,TP_BISTOPKREDI_QCH2
2000-01-01,102.6
2000-04-01,101.4
2000-07-01,100.7
2000-10-01,100.8
2001-01-01,100.5
2001-04-01,100.1
2001-07-01,99.6
2001-10-01,99.4
2002-01-01,100.2
2002-04-01,100.9
2002-07-01,101.3
2002-10-01,102.9
2003-01-01,104.1
2003-04-01,105.6
2003-07-01,106.3
2003-10-01,107.5
2004-01-01,107.8
2004-04-01,107.7
2004-07-01,107.8
2004-10-01,107.9
2005-01-01,108.8
2005-04-01,109.1
2005-07-01,109.2
2005-10-01,109.2
2006-01-01,108.3
2006-04-01,107.2
2006-07-01,108.9
2006-10-01,107.2
2007-01-01,106.6
2007-04-01,105.5
2007-07-01,104.2
2007-10-01,103.7
2008-01-01,103.0
2008-04-01,102.8
2008-07-01,101.7
2008-10-01,101.4
2009-01-01,102.6
2009-04-01,104.7
2009-07-01,106.4
2009-10-01,107.0
2010-01-01,107.4
2010-04-01,107.7
2010-07-01,107.9
2010-10-01,107.7
2011-01-01,108.0
2011-04-01,108.7
2011-07-01,109.7
2011-10-01,110.2
2012-01-01,110.6
2012-04-01,111.2
2012-07-01,111.7
2012-10-01,113.1
2013-01-01,113.7
2013-04-01,114.0
2013-07-01,114.5
2013-10-01,116.5
2014-01-01,117.4
2014-04-01,117.7
2014-07-01,118.2
2014-10-01,119.6
2015-01-01,119.7
2015-04-01,120.7
2015-07-01,121.5
2015-10-01,122.3
2016-01-01,122.7
2016-04-01,123.2
2016-07-01,123.6
2016-10-01,123.8
2017-01-01,124.6
2017-04-01,125.5
2017-07-01,126.2
2017-10-01,126.4
2018-01-01,126.3
2018-04-01,125.7
2018-07-01,125.5
2018-10-01,125.4
2019-01-01,125.4
2019-04-01,126.0
2019-07-01,126.9
2019-10-01,127.0
2020-01-01,128.1
2020-04-01,131.6
2020-07-01,133.4
2020-10-01,135.0
2021-01-01,136.0
2021-04-01,133.2
2021-07-01,131.9
2021-10-01,130.3
2022-01-01,129.0
2022-04-01,127.9
2022-07-01,127.3
2022-10-01,126.2
2023-01-01,125.6
2023-04-01,125.8
2023-07-01,126.0
2023-10-01,126.1
2024-01-01,126.1
2024-04-01,125.8
2024-07-01,125.6
2024-10-01,125.2
2025-01-01,125.3
