Tarih,TP_BISTOPKREDI_QIN3
2000-01-01,69.3
2000-04-01,69.3
2000-07-01,69.0
2000-10-01,71.1
2001-01-01,72.7
2001-04-01,73.4
2001-07-01,76.1
2001-10-01,78.8
2002-01-01,80.9
2002-04-01,83.4
2002-07-01,84.0
2002-10-01,82.4
2003-01-01,80.4
2003-04-01,77.1
2003-07-01,78.1
2003-10-01,79.4
2004-01-01,80.6
2004-04-01,80.6
2004-07-01,80.3
2004-10-01,79.7
2005-01-01,80.0
2005-04-01,83.4
2005-07-01,85.3
2005-10-01,84.4
2006-01-01,85.2
2006-04-01,83.9
2006-07-01,83.3
2006-10-01,86.6
2007-01-01,89.4
2007-04-01,93.0
2007-07-01,90.5
2007-10-01,90.5
2008-01-01,88.7
2008-04-01,88.9
2008-07-01,86.9
2008-10-01,83.3
2009-01-01,85.6
2009-04-01,84.0
2009-07-01,83.6
2009-10-01,83.4
2010-01-01,81.8
2010-04-01,83.0
2010-07-01,82.5
2010-10-01,82.2
2011-01-01,81.6
2011-04-01,80.2
2011-07-01,80.3
2011-10-01,79.6
2012-01-01,79.9
2012-04-01,78.6
2012-07-01,77.5
2012-10-01,77.2
2013-01-01,75.3
2013-04-01,74.4
2013-07-01,73.9
2013-10-01,72.9
2014-01-01,71.6
2014-04-01,71.5
2014-07-01,72.5
2014-10-01,70.5
2015-01-01,70.9
2015-04-01,68.4
2015-07-01,68.5
2015-10-01,68.8
2016-01-01,68.3
2016-04-01,69.4
2016-07-01,69.0
2016-10-01,69.4
2017-01-01,68.6
2017-04-01,68.7
2017-07-01,69.9
2017-10-01,68.6
2018-01-01,70.0
2018-04-01,69.9
2018-07-01,69.4
2018-10-01,68.6
2019-01-01,68.8
2019-04-01,68.7
2019-07-01,67.4
2019-10-01,68.2
2020-01-01,66.8
2020-04-01,66.7
2020-07-01,68.2
2020-10-01,69.9
2021-01-01,71.1
2021-04-01,70.6
2021-07-01,71.0
2021-10-01,71.3
2022-01-01,70.8
2022-04-01,71.5
2022-07-01,70.2
2022-10-01,69.4
2023-01-01,69.5
2023-04-01,69.8
2023-07-01,69.0
2023-10-01,68.6
2024-01-01,69.1
2024-04-01,68.4
2024-07-01,69.7
2024-10-01,69.3
2025-01-01,69.4
