Tarih,TP_BISTOPKREDI_QMY3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,96.8
2006-04-01,96.0
2006-07-01,93.5
2006-10-01,93.5
2007-01-01,91.8
2007-04-01,90.8
2007-07-01,94.4
2007-10-01,88.8
2008-01-01,84.5
2008-04-01,84.1
2008-07-01,88.6
2008-10-01,89.2
2009-01-01,91.5
2009-04-01,93.1
2009-07-01,97.4
2009-10-01,98.7
2010-01-01,94.8
2010-04-01,92.8
2010-07-01,90.4
2010-10-01,92.2
2011-01-01,90.0
2011-04-01,91.0
2011-07-01,92.4
2011-10-01,93.6
2012-01-01,87.8
2012-04-01,93.0
2012-07-01,92.5
2012-10-01,92.2
2013-01-01,92.6
2013-04-01,93.3
2013-07-01,92.4
2013-10-01,93.5
2014-01-01,92.9
2014-04-01,90.9
2014-07-01,89.4
2014-10-01,90.7
2015-01-01,92.3
2015-04-01,93.8
2015-07-01,95.4
2015-10-01,96.0
2016-01-01,93.2
2016-04-01,92.7
2016-07-01,94.6
2016-10-01,97.2
2017-01-01,96.9
2017-04-01,96.9
2017-07-01,95.8
2017-10-01,95.7
2018-01-01,96.6
2018-04-01,97.0
2018-07-01,96.2
2018-10-01,96.0
2019-01-01,95.6
2019-04-01,97.3
2019-07-01,96.0
2019-10-01,96.0
2020-01-01,97.2
2020-04-01,103.7
2020-07-01,104.2
2020-10-01,105.4
2021-01-01,106.3
2021-04-01,102.8
2021-07-01,103.5
2021-10-01,101.8
2022-01-01,99.1
2022-04-01,95.2
2022-07-01,89.1
2022-10-01,87.5
2023-01-01,86.9
2023-04-01,88.4
2023-07-01,88.9
2023-10-01,89.6
2024-01-01,89.4
2024-04-01,88.6
2024-07-01,86.2
2024-10-01,87.4
2025-01-01,87.4
