Tarih,TP_BISTOPKREDI_QID3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,22.4
2002-01-01,20.4
2002-04-01,18.7
2002-07-01,18.9
2002-10-01,19.1
2003-01-01,18.6
2003-04-01,16.9
2003-07-01,16.9
2003-10-01,17.3
2004-01-01,16.4
2004-04-01,18.6
2004-07-01,17.8
2004-10-01,18.1
2005-01-01,18.3
2005-04-01,18.6
2005-07-01,18.9
2005-10-01,17.3
2006-01-01,15.3
2006-04-01,15.8
2006-07-01,15.6
2006-10-01,15.9
2007-01-01,15.5
2007-04-01,14.1
2007-07-01,14.5
2007-10-01,16.4
2008-01-01,16.2
2008-04-01,16.6
2008-07-01,17.0
2008-10-01,17.3
2009-01-01,16.6
2009-04-01,15.2
2009-07-01,14.8
2009-10-01,15.0
2010-01-01,13.1
2010-04-01,14.5
2010-07-01,13.8
2010-10-01,14.8
2011-01-01,14.1
2011-04-01,14.6
2011-07-01,15.9
2011-10-01,16.6
2012-01-01,17.5
2012-04-01,18.6
2012-07-01,18.9
2012-10-01,20.2
2013-01-01,20.0
2013-04-01,21.2
2013-07-01,23.1
2013-10-01,24.1
2014-01-01,23.1
2014-04-01,24.2
2014-07-01,24.8
2014-10-01,25.0
2015-01-01,24.9
2015-04-01,25.4
2015-07-01,26.1
2015-10-01,26.5
2016-01-01,25.3
2016-04-01,25.8
2016-07-01,25.6
2016-10-01,26.1
2017-01-01,24.9
2017-04-01,25.2
2017-07-01,24.6
2017-10-01,24.9
2018-01-01,24.4
2018-04-01,25.5
2018-07-01,25.9
2018-10-01,26.1
2019-01-01,25.7
2019-04-01,25.9
2019-07-01,25.9
2019-10-01,26.0
2020-01-01,27.7
2020-04-01,26.8
2020-07-01,27.4
2020-10-01,26.4
2021-01-01,26.7
2021-04-01,26.2
2021-07-01,25.2
2021-10-01,24.6
2022-01-01,24.3
2022-04-01,25.1
2022-07-01,24.2
2022-10-01,23.8
2023-01-01,22.6
2023-04-01,22.8
2023-07-01,23.2
2023-10-01,23.6
2024-01-01,23.9
2024-04-01,24.2
2024-07-01,23.0
2024-10-01,23.6
2025-01-01,23.9
