Tarih,TP_BISTOPKREDI_QCZ3
2000-01-01,65.9
2000-04-01,65.0
2000-07-01,65.8
2000-10-01,64.0
2001-01-01,64.0
2001-04-01,64.1
2001-07-01,57.9
2001-10-01,56.5
2002-01-01,55.6
2002-04-01,54.5
2002-07-01,54.7
2002-10-01,55.5
2003-01-01,53.6
2003-04-01,51.3
2003-07-01,49.5
2003-10-01,48.2
2004-01-01,49.5
2004-04-01,48.1
2004-07-01,47.4
2004-10-01,45.5
2005-01-01,45.3
2005-04-01,45.6
2005-07-01,45.3
2005-10-01,44.3
2006-01-01,45.8
2006-04-01,46.0
2006-07-01,45.3
2006-10-01,45.9
2007-01-01,45.9
2007-04-01,45.7
2007-07-01,46.7
2007-10-01,46.6
2008-01-01,47.3
2008-04-01,48.0
2008-07-01,49.5
2008-10-01,51.1
2009-01-01,50.1
2009-04-01,50.9
2009-07-01,51.5
2009-10-01,52.7
2010-01-01,52.8
2010-04-01,54.4
2010-07-01,53.7
2010-10-01,53.1
2011-01-01,53.3
2011-04-01,54.2
2011-07-01,54.7
2011-10-01,55.5
2012-01-01,55.6
2012-04-01,56.9
2012-07-01,58.0
2012-10-01,59.6
2013-01-01,60.4
2013-04-01,61.6
2013-07-01,61.5
2013-10-01,61.6
2014-01-01,60.6
2014-04-01,60.7
2014-07-01,60.5
2014-10-01,60.3
2015-01-01,59.4
2015-04-01,57.9
2015-07-01,57.1
2015-10-01,56.4
2016-01-01,55.6
2016-04-01,55.8
2016-07-01,56.3
2016-10-01,56.3
2017-01-01,56.7
2017-04-01,56.3
2017-07-01,56.2
2017-10-01,56.4
2018-01-01,56.7
2018-04-01,57.9
2018-07-01,58.7
2018-10-01,59.2
2019-01-01,57.9
2019-04-01,56.6
2019-07-01,55.6
2019-10-01,53.7
2020-01-01,53.8
2020-04-01,54.6
2020-07-01,55.2
2020-10-01,54.5
2021-01-01,55.9
2021-04-01,54.8
2021-07-01,55.1
2021-10-01,55.6
2022-01-01,55.8
2022-04-01,55.6
2022-07-01,57.3
2022-10-01,55.7
2023-01-01,54.1
2023-04-01,52.6
2023-07-01,52.1
2023-10-01,51.6
2024-01-01,53.4
2024-04-01,52.9
2024-07-01,53.7
2024-10-01,53.8
2025-01-01,51.3
