Tarih,TP_BISTOPKREDI_QCL1
2000-01-01,13.7
2000-04-01,14.7
2000-07-01,16.2
2000-10-01,16.8
2001-01-01,16.9
2001-04-01,18.0
2001-07-01,20.4
2001-10-01,19.8
2002-01-01,20.4
2002-04-01,22.6
2002-07-01,24.3
2002-10-01,22.9
2003-01-01,24.2
2003-04-01,22.7
2003-07-01,21.6
2003-10-01,19.5
2004-01-01,20.6
2004-04-01,19.7
2004-07-01,18.8
2004-10-01,16.8
2005-01-01,16.4
2005-04-01,15.5
2005-07-01,13.8
2005-10-01,12.5
2006-01-01,11.6
2006-04-01,10.6
2006-07-01,10.1
2006-10-01,9.7
2007-01-01,9.4
2007-04-01,8.9
2007-07-01,8.3
2007-10-01,7.9
2008-01-01,7.3
2008-04-01,7.2
2008-07-01,7.7
2008-10-01,8.5
2009-01-01,8.6
2009-04-01,8.1
2009-07-01,9.0
2009-10-01,8.8
2010-01-01,9.3
2010-04-01,9.8
2010-07-01,10.7
2010-10-01,11.0
2011-01-01,11.1
2011-04-01,11.3
2011-07-01,12.8
2011-10-01,13.4
2012-01-01,13.3
2012-04-01,13.9
2012-07-01,13.5
2012-10-01,13.9
2013-01-01,13.5
2013-04-01,14.2
2013-07-01,14.7
2013-10-01,14.9
2014-01-01,14.9
2014-04-01,16.0
2014-07-01,16.3
2014-10-01,18.1
2015-01-01,17.2
2015-04-01,18.6
2015-07-01,19.4
2015-10-01,19.9
2016-01-01,20.8
2016-04-01,22.2
2016-07-01,23.6
2016-10-01,23.7
2017-01-01,23.9
2017-04-01,26.1
2017-07-01,25.3
2017-10-01,25.4
2018-01-01,25.0
2018-04-01,25.6
2018-07-01,26.6
2018-10-01,27.8
2019-01-01,28.9
2019-04-01,31.9
2019-07-01,34.1
2019-10-01,33.4
2020-01-01,33.8
2020-04-01,39.1
2020-07-01,39.0
2020-10-01,38.6
2021-01-01,36.5
2021-04-01,34.7
2021-07-01,35.8
2021-10-01,36.5
2022-01-01,35.1
2022-04-01,36.4
2022-07-01,34.5
2022-10-01,36.1
2023-01-01,34.8
2023-04-01,35.5
2023-07-01,35.0
2023-10-01,37.6
2024-01-01,38.9
2024-04-01,37.7
2024-07-01,41.2
2024-10-01,39.1
2025-01-01,39.3
