Tarih,TP_BISTOPKREDI_QCO2
2000-01-01,11.96
2000-04-01,11.15
2000-07-01,10.44
2000-10-01,9.65
2001-01-01,9.39
2001-04-01,9.43
2001-07-01,9.3
2001-10-01,9.22
2002-01-01,8.95
2002-04-01,9.79
2002-07-01,9.96
2002-10-01,10.15
2003-01-01,9.87
2003-04-01,9.77
2003-07-01,9.72
2003-10-01,9.7
2004-01-01,9.98
2004-04-01,10.48
2004-07-01,10.86
2004-10-01,11.17
2005-01-01,11.44
2005-04-01,11.92
2005-07-01,12.25
2005-10-01,12.94
2006-01-01,12.86
2006-04-01,13.58
2006-07-01,13.82
2006-10-01,14.24
2007-01-01,14.64
2007-04-01,15.3
2007-07-01,15.99
2007-10-01,16.48
2008-01-01,16.15
2008-04-01,16.21
2008-07-01,16.28
2008-10-01,16.42
2009-01-01,16.58
2009-04-01,17.12
2009-07-01,17.15
2009-10-01,17.51
2010-01-01,17.2
2010-04-01,17.42
2010-07-01,17.96
2010-10-01,18.7
2011-01-01,18.92
2011-04-01,19.35
2011-07-01,19.75
2011-10-01,20.08
2012-01-01,20.01
2012-04-01,20.41
2012-07-01,20.81
2012-10-01,21.62
2013-01-01,21.77
2013-04-01,22.42
2013-07-01,22.66
2013-10-01,22.94
2014-01-01,22.92
2014-04-01,23.52
2014-07-01,23.57
2014-10-01,24.14
2015-01-01,24.62
2015-04-01,25.5
2015-07-01,26.31
2015-10-01,26.86
2016-01-01,26.68
2016-04-01,26.62
2016-07-01,26.54
2016-10-01,26.24
2017-01-01,26.31
2017-04-01,26.75
2017-07-01,26.76
2017-10-01,26.95
2018-01-01,27.0
2018-04-01,27.17
2018-07-01,27.09
2018-10-01,27.65
2019-01-01,27.82
2019-04-01,28.35
2019-07-01,28.95
2019-10-01,29.08
2020-01-01,30.11
2020-04-01,31.82
2020-07-01,32.2
2020-10-01,32.37
2021-01-01,32.36
2021-04-01,31.27
2021-07-01,30.54
2021-10-01,30.07
2022-01-01,29.56
2022-04-01,29.16
2022-07-01,28.59
2022-10-01,28.44
2023-01-01,27.69
2023-04-01,27.49
2023-07-01,27.34
2023-10-01,26.94
2024-01-01,26.74
2024-04-01,26.54
2024-07-01,26.03
2024-10-01,25.69
2025-01-01,25.4
