Tarih,TP_BISTOPKREDI_QJP3
2000-01-01,122.5
2000-04-01,119.5
2000-07-01,118.8
2000-10-01,117.7
2001-01-01,116.4
2001-04-01,114.1
2001-07-01,113.6
2001-10-01,114.3
2002-01-01,113.6
2002-04-01,112.7
2002-07-01,110.7
2002-10-01,111.6
2003-01-01,109.3
2003-04-01,106.7
2003-07-01,104.3
2003-10-01,104.5
2004-01-01,102.0
2004-04-01,100.0
2004-07-01,98.7
2004-10-01,99.3
2005-01-01,102.9
2005-04-01,101.1
2005-07-01,102.0
2005-10-01,101.8
2006-01-01,101.2
2006-04-01,100.6
2006-07-01,101.4
2006-10-01,101.9
2007-01-01,101.2
2007-04-01,98.3
2007-07-01,99.5
2007-10-01,100.7
2008-01-01,99.1
2008-04-01,101.4
2008-07-01,101.8
2008-10-01,105.6
2009-01-01,106.2
2009-04-01,107.0
2009-07-01,108.1
2009-10-01,108.8
2010-01-01,106.1
2010-04-01,104.7
2010-07-01,103.2
2010-10-01,102.2
2011-01-01,101.2
2011-04-01,100.8
2011-07-01,101.5
2011-10-01,101.7
2012-01-01,101.0
2012-04-01,98.2
2012-07-01,99.3
2012-10-01,100.2
2013-01-01,100.0
2013-04-01,98.7
2013-07-01,98.8
2013-10-01,99.1
2014-01-01,98.1
2014-04-01,96.7
2014-07-01,97.1
2014-10-01,97.7
2015-01-01,96.7
2015-04-01,94.6
2015-07-01,94.3
2015-10-01,94.9
2016-01-01,93.8
2016-04-01,94.2
2016-07-01,95.5
2016-10-01,96.7
2017-01-01,97.1
2017-04-01,96.3
2017-07-01,96.4
2017-10-01,96.6
2018-01-01,95.9
2018-04-01,96.6
2018-07-01,97.6
2018-10-01,98.9
2019-01-01,99.7
2019-04-01,100.2
2019-07-01,101.6
2019-10-01,103.2
2020-01-01,104.4
2020-04-01,114.1
2020-07-01,116.1
2020-10-01,117.2
2021-01-01,117.6
2021-04-01,116.3
2021-07-01,116.2
2021-10-01,117.6
2022-01-01,117.5
2022-04-01,118.3
2022-07-01,118.7
2022-10-01,119.3
2023-01-01,118.1
2023-04-01,117.5
2023-07-01,117.4
2023-10-01,117.3
2024-01-01,117.8
2024-04-01,117.3
2024-07-01,116.0
2024-10-01,117.1
2025-01-01,115.6
