Tarih,TP_BISTOPKREDI_QNL1
2000-01-01,62.5
2000-04-01,59.9
2000-07-01,57.7
2000-10-01,55.7
2001-01-01,54.5
2001-04-01,55.7
2001-07-01,53.8
2001-10-01,52.5
2002-01-01,52.1
2002-04-01,53.1
2002-07-01,52.7
2002-10-01,52.8
2003-01-01,53.6
2003-04-01,53.9
2003-07-01,53.7
2003-10-01,53.2
2004-01-01,54.3
2004-04-01,54.3
2004-07-01,54.4
2004-10-01,54.0
2005-01-01,53.4
2005-04-01,56.9
2005-07-01,54.4
2005-10-01,53.4
2006-01-01,51.5
2006-04-01,50.4
2006-07-01,49.2
2006-10-01,46.8
2007-01-01,46.4
2007-04-01,46.1
2007-07-01,45.0
2007-10-01,43.8
2008-01-01,44.8
2008-04-01,45.0
2008-07-01,45.7
2008-10-01,56.9
2009-01-01,59.4
2009-04-01,58.7
2009-07-01,59.2
2009-10-01,59.2
2010-01-01,60.3
2010-04-01,63.5
2010-07-01,63.2
2010-10-01,62.8
2011-01-01,61.4
2011-04-01,63.2
2011-07-01,65.9
2011-10-01,67.2
2012-01-01,67.2
2012-04-01,69.6
2012-07-01,70.9
2012-10-01,72.9
2013-01-01,72.4
2013-04-01,73.3
2013-07-01,71.9
2013-10-01,71.8
2014-01-01,71.9
2014-04-01,74.4
2014-07-01,74.7
2014-10-01,76.0
2015-01-01,78.5
2015-04-01,73.6
2015-07-01,72.7
2015-10-01,71.7
2016-01-01,72.5
2016-04-01,72.8
2016-07-01,70.7
2016-10-01,69.6
2017-01-01,66.3
2017-04-01,65.5
2017-07-01,63.3
2017-10-01,63.0
2018-01-01,60.7
2018-04-01,60.0
2018-07-01,58.4
2018-10-01,58.4
2019-01-01,57.1
2019-04-01,57.9
2019-07-01,56.9
2019-10-01,55.1
2020-01-01,56.0
2020-04-01,61.9
2020-07-01,62.2
2020-10-01,61.7
2021-01-01,60.6
2021-04-01,59.6
2021-07-01,57.6
2021-10-01,57.1
2022-01-01,52.0
2022-04-01,48.8
2022-07-01,45.0
2022-10-01,46.0
2023-01-01,44.2
2023-04-01,43.0
2023-07-01,41.4
2023-10-01,44.6
2024-01-01,42.4
2024-04-01,41.2
2024-07-01,40.8
2024-10-01,41.9
2025-01-01,40.2
