Tarih,TP_BISTOPKREDI_QJP2
2000-01-01,71.1
2000-04-01,70.2
2000-07-01,70.3
2000-10-01,69.8
2001-01-01,68.6
2001-04-01,68.2
2001-07-01,68.5
2001-10-01,68.5
2002-01-01,68.5
2002-04-01,68.1
2002-07-01,67.8
2002-10-01,67.4
2003-01-01,67.2
2003-04-01,66.6
2003-07-01,66.7
2003-10-01,66.5
2004-01-01,66.0
2004-04-01,65.4
2004-07-01,65.1
2004-10-01,64.7
2005-01-01,62.0
2005-04-01,61.6
2005-07-01,61.6
2005-10-01,62.1
2006-01-01,61.9
2006-04-01,61.6
2006-07-01,61.5
2006-10-01,61.1
2007-01-01,60.9
2007-04-01,60.8
2007-07-01,60.2
2007-10-01,60.0
2008-01-01,59.8
2008-04-01,59.8
2008-07-01,59.9
2008-10-01,60.3
2009-01-01,61.3
2009-04-01,62.2
2009-07-01,63.0
2009-10-01,63.5
2010-01-01,63.0
2010-04-01,62.6
2010-07-01,61.7
2010-10-01,61.2
2011-01-01,61.1
2011-04-01,61.5
2011-07-01,61.6
2011-10-01,61.8
2012-01-01,61.4
2012-04-01,61.1
2012-07-01,61.1
2012-10-01,61.4
2013-01-01,61.8
2013-04-01,61.8
2013-07-01,61.4
2013-10-01,61.3
2014-01-01,61.2
2014-04-01,60.8
2014-07-01,60.7
2014-10-01,60.8
2015-01-01,60.5
2015-04-01,60.2
2015-07-01,59.7
2015-10-01,59.5
2016-01-01,59.3
2016-04-01,59.4
2016-07-01,59.5
2016-10-01,59.8
2017-01-01,60.0
2017-04-01,60.1
2017-07-01,60.0
2017-10-01,60.2
2018-01-01,60.3
2018-04-01,60.3
2018-07-01,60.6
2018-10-01,61.2
2019-01-01,61.5
2019-04-01,61.7
2019-07-01,61.8
2019-10-01,62.3
2020-01-01,62.7
2020-04-01,64.7
2020-07-01,66.1
2020-10-01,67.2
2021-01-01,67.8
2021-04-01,67.0
2021-07-01,66.9
2021-10-01,67.2
2022-01-01,67.1
2022-04-01,67.2
2022-07-01,67.3
2022-10-01,67.5
2023-01-01,66.9
2023-04-01,66.2
2023-07-01,65.5
2023-10-01,65.1
2024-01-01,65.2
2024-04-01,65.3
2024-07-01,64.8
2024-10-01,64.8
2025-01-01,64.4
