Tarih,TP_BISTOPKREDI_QPT1
2000-01-01,57.9
2000-04-01,56.4
2000-07-01,56.1
2000-10-01,56.2
2001-01-01,55.9
2001-04-01,56.4
2001-07-01,58.1
2001-10-01,59.4
2002-01-01,57.7
2002-04-01,58.6
2002-07-01,61.4
2002-10-01,63.4
2003-01-01,66.4
2003-04-01,65.0
2003-07-01,65.9
2003-10-01,66.9
2004-01-01,67.7
2004-04-01,68.1
2004-07-01,68.7
2004-10-01,70.6
2005-01-01,71.0
2005-04-01,72.2
2005-07-01,74.5
2005-10-01,75.4
2006-01-01,74.2
2006-04-01,74.9
2006-07-01,74.7
2006-10-01,74.6
2007-01-01,73.0
2007-04-01,71.3
2007-07-01,71.9
2007-10-01,73.0
2008-01-01,72.5
2008-04-01,72.0
2008-07-01,73.3
2008-10-01,77.6
2009-01-01,80.8
2009-04-01,85.7
2009-07-01,87.3
2009-10-01,90.0
2010-01-01,93.2
2010-04-01,92.1
2010-07-01,94.5
2010-10-01,95.7
2011-01-01,92.7
2011-04-01,97.2
2011-07-01,100.5
2011-10-01,96.3
2012-01-01,104.7
2012-04-01,113.5
2012-07-01,120.8
2012-10-01,126.1
2013-01-01,130.3
2013-04-01,132.8
2013-07-01,128.2
2013-10-01,130.0
2014-01-01,138.8
2014-04-01,137.7
2014-07-01,142.3
2014-10-01,140.6
2015-01-01,145.6
2015-04-01,139.2
2015-07-01,142.9
2015-10-01,140.2
2016-01-01,138.5
2016-04-01,140.0
2016-07-01,140.7
2016-10-01,136.4
2017-01-01,136.3
2017-04-01,139.4
2017-07-01,139.4
2017-10-01,136.0
2018-01-01,137.1
2018-04-01,134.6
2018-07-01,133.9
2018-10-01,130.6
2019-01-01,133.7
2019-04-01,133.3
2019-07-01,133.7
2019-10-01,129.4
2020-01-01,130.5
2020-04-01,139.2
2020-07-01,145.7
2020-10-01,150.0
2021-01-01,152.3
2021-04-01,146.8
2021-07-01,141.5
2021-10-01,135.8
2022-01-01,129.7
2022-04-01,123.1
2022-07-01,116.6
2022-10-01,108.2
2023-01-01,108.9
2023-04-01,106.1
2023-07-01,102.8
2023-10-01,97.1
2024-01-01,97.5
2024-04-01,98.1
2024-07-01,96.8
2024-10-01,94.5
2025-01-01,94.9
