Tarih,TP_BISTOPKREDI_QCA2
2000-01-01,62.9
2000-04-01,62.2
2000-07-01,61.8
2000-10-01,61.3
2001-01-01,60.5
2001-04-01,60.8
2001-07-01,61.8
2001-10-01,62.8
2002-01-01,63.3
2002-04-01,64.5
2002-07-01,65.1
2002-10-01,64.9
2003-01-01,64.1
2003-04-01,64.9
2003-07-01,66.0
2003-10-01,66.8
2004-01-01,67.2
2004-04-01,68.4
2004-07-01,69.1
2004-10-01,69.6
2005-01-01,69.9
2005-04-01,71.0
2005-07-01,72.0
2005-10-01,72.3
2006-01-01,72.3
2006-04-01,73.1
2006-07-01,74.4
2006-10-01,75.9
2007-01-01,76.8
2007-04-01,78.6
2007-07-01,80.0
2007-10-01,80.7
2008-01-01,80.8
2008-04-01,81.8
2008-07-01,82.4
2008-10-01,83.5
2009-01-01,85.4
2009-04-01,89.1
2009-07-01,92.9
2009-10-01,94.9
2010-01-01,94.2
2010-04-01,94.7
2010-07-01,94.8
2010-10-01,94.9
2011-01-01,94.2
2011-04-01,94.7
2011-07-01,94.7
2011-10-01,94.0
2012-01-01,93.4
2012-04-01,94.1
2012-07-01,94.9
2012-10-01,95.3
2013-01-01,94.8
2013-04-01,95.4
2013-07-01,95.7
2013-10-01,95.4
2014-01-01,94.7
2014-04-01,94.9
2014-07-01,95.2
2014-10-01,95.1
2015-01-01,95.5
2015-04-01,97.4
2015-07-01,99.3
2015-10-01,100.7
2016-01-01,101.2
2016-04-01,102.9
2016-07-01,104.0
2016-10-01,104.2
2017-01-01,103.8
2017-04-01,104.0
2017-07-01,104.1
2017-10-01,103.6
2018-01-01,102.9
2018-04-01,102.9
2018-07-01,102.8
2018-10-01,103.0
2019-01-01,102.5
2019-04-01,103.2
2019-07-01,103.9
2019-10-01,103.5
2020-01-01,103.8
2020-04-01,107.8
2020-07-01,110.5
2020-10-01,112.1
2021-01-01,110.9
2021-04-01,108.3
2021-07-01,107.1
2021-10-01,105.5
2022-01-01,103.6
2022-04-01,102.5
2022-07-01,101.3
2022-10-01,100.2
2023-01-01,99.4
2023-04-01,100.6
2023-07-01,101.0
2023-10-01,100.6
2024-01-01,99.7
2024-04-01,99.8
2024-07-01,100.0
2024-10-01,100.1
2025-01-01,99.1
