Tarih,TP_BISTOPKREDI_QDE3
2000-01-01,69.0
2000-04-01,71.4
2000-07-01,71.7
2000-10-01,77.3
2001-01-01,78.4
2001-04-01,79.0
2001-07-01,79.8
2001-10-01,79.8
2002-01-01,79.6
2002-04-01,81.5
2002-07-01,81.8
2002-10-01,82.5
2003-01-01,83.3
2003-04-01,84.3
2003-07-01,84.1
2003-10-01,83.3
2004-01-01,80.9
2004-04-01,79.5
2004-07-01,77.9
2004-10-01,76.6
2005-01-01,76.4
2005-04-01,77.5
2005-07-01,78.2
2005-10-01,78.7
2006-01-01,80.3
2006-04-01,81.7
2006-07-01,82.1
2006-10-01,81.8
2007-01-01,80.8
2007-04-01,81.0
2007-07-01,80.5
2007-10-01,81.6
2008-01-01,81.7
2008-04-01,82.0
2008-07-01,82.7
2008-10-01,84.5
2009-01-01,85.5
2009-04-01,86.0
2009-07-01,85.4
2009-10-01,85.7
2010-01-01,84.8
2010-04-01,85.0
2010-07-01,84.6
2010-10-01,83.4
2011-01-01,80.7
2011-04-01,80.3
2011-07-01,81.4
2011-10-01,81.9
2012-01-01,81.7
2012-04-01,82.0
2012-07-01,81.7
2012-10-01,81.5
2013-01-01,82.9
2013-04-01,83.6
2013-07-01,83.9
2013-10-01,84.1
2014-01-01,83.8
2014-04-01,84.1
2014-07-01,82.9
2014-10-01,79.3
2015-01-01,80.1
2015-04-01,80.2
2015-07-01,80.2
2015-10-01,80.0
2016-01-01,81.0
2016-04-01,81.3
2016-07-01,82.0
2016-10-01,82.3
2017-01-01,82.8
2017-04-01,82.3
2017-07-01,81.9
2017-10-01,82.1
2018-01-01,82.1
2018-04-01,83.3
2018-07-01,83.9
2018-10-01,83.3
2019-01-01,84.2
2019-04-01,85.0
2019-07-01,85.0
2019-10-01,85.2
2020-01-01,86.3
2020-04-01,90.3
2020-07-01,91.7
2020-10-01,92.6
2021-01-01,94.5
2021-04-01,92.7
2021-07-01,92.1
2021-10-01,92.1
2022-01-01,92.0
2022-04-01,92.0
2022-07-01,93.5
2022-10-01,92.8
2023-01-01,91.5
2023-04-01,90.7
2023-07-01,89.5
2023-10-01,89.0
2024-01-01,88.9
2024-04-01,89.0
2024-07-01,89.2
2024-10-01,89.0
2025-01-01,89.1
