Tarih,TP_BISTOPKREDI_Q5A1
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,61.6
2002-01-01,61.7
2002-04-01,67.1
2002-07-01,66.8
2002-10-01,68.2
2003-01-01,68.7
2003-04-01,69.6
2003-07-01,70.0
2003-10-01,70.7
2004-01-01,72.7
2004-04-01,69.9
2004-07-01,69.4
2004-10-01,72.3
2005-01-01,69.9
2005-04-01,67.5
2005-07-01,65.6
2005-10-01,64.4
2006-01-01,64.6
2006-04-01,64.5
2006-07-01,63.8
2006-10-01,63.2
2007-01-01,62.8
2007-04-01,61.1
2007-07-01,62.4
2007-10-01,62.5
2008-01-01,64.6
2008-04-01,61.3
2008-07-01,58.7
2008-10-01,63.3
2009-01-01,64.9
2009-04-01,71.5
2009-07-01,77.4
2009-10-01,76.5
2010-01-01,75.1
2010-04-01,75.0
2010-07-01,79.7
2010-10-01,79.4
2011-01-01,79.6
2011-04-01,79.7
2011-07-01,78.4
2011-10-01,77.9
2012-01-01,78.7
2012-04-01,79.5
2012-07-01,82.4
2012-10-01,81.9
2013-01-01,80.6
2013-04-01,78.7
2013-07-01,79.8
2013-10-01,79.5
2014-01-01,80.9
2014-04-01,81.8
2014-07-01,78.5
2014-10-01,78.3
2015-01-01,77.7
2015-04-01,78.9
2015-07-01,80.5
2015-10-01,81.5
2016-01-01,86.9
2016-04-01,89.2
2016-07-01,89.4
2016-10-01,84.0
2017-01-01,85.2
2017-04-01,86.7
2017-07-01,87.1
2017-10-01,86.8
2018-01-01,87.1
2018-04-01,82.5
2018-07-01,81.1
2018-10-01,82.7
2019-01-01,84.9
2019-04-01,86.8
2019-07-01,86.8
2019-10-01,87.6
2020-01-01,89.2
2020-04-01,99.9
2020-07-01,104.5
2020-10-01,108.7
2021-01-01,103.2
2021-04-01,100.4
2021-07-01,97.3
2021-10-01,96.0
2022-01-01,92.8
2022-04-01,86.3
2022-07-01,81.6
2022-10-01,85.6
2023-01-01,87.8
2023-04-01,86.2
2023-07-01,84.4
2023-10-01,88.9
2024-01-01,87.8
2024-04-01,87.0
2024-07-01,91.6
2024-10-01,87.4
2025-01-01,90.0
