Tarih,TP_BISTOPKREDI_QGR1
2000-01-01,105.7
2000-04-01,109.0
2000-07-01,110.4
2000-10-01,112.0
2001-01-01,112.2
2001-04-01,109.6
2001-07-01,108.9
2001-10-01,113.7
2002-01-01,106.8
2002-04-01,107.1
2002-07-01,110.2
2002-10-01,113.8
2003-01-01,108.4
2003-04-01,110.4
2003-07-01,106.8
2003-10-01,106.9
2004-01-01,108.5
2004-04-01,109.7
2004-07-01,110.4
2004-10-01,110.9
2005-01-01,106.7
2005-04-01,113.3
2005-07-01,114.7
2005-10-01,112.9
2006-01-01,115.2
2006-04-01,111.5
2006-07-01,112.1
2006-10-01,110.6
2007-01-01,111.3
2007-04-01,106.3
2007-07-01,105.8
2007-10-01,107.3
2008-01-01,108.3
2008-04-01,105.5
2008-07-01,108.2
2008-10-01,109.7
2009-01-01,118.5
2009-04-01,126.4
2009-07-01,131.9
2009-10-01,126.3
2010-01-01,127.2
2010-04-01,112.0
2010-07-01,120.2
2010-10-01,118.9
2011-01-01,126.0
2011-04-01,119.5
2011-07-01,115.8
2011-10-01,102.0
2012-01-01,93.5
2012-04-01,109.2
2012-07-01,132.9
2012-10-01,155.5
2013-01-01,156.8
2013-04-01,165.7
2013-07-01,168.6
2013-10-01,172.2
2014-01-01,176.1
2014-04-01,179.5
2014-07-01,177.9
2014-10-01,174.4
2015-01-01,165.8
2015-04-01,165.1
2015-07-01,167.6
2015-10-01,172.7
2016-01-01,171.5
2016-04-01,175.6
2016-07-01,173.1
2016-10-01,176.5
2017-01-01,173.8
2017-04-01,173.2
2017-07-01,174.9
2017-10-01,181.4
2018-01-01,182.1
2018-04-01,182.2
2018-07-01,188.8
2018-10-01,188.0
2019-01-01,188.7
2019-04-01,188.0
2019-07-01,189.2
2019-10-01,188.1
2020-01-01,187.9
2020-04-01,199.0
2020-07-01,210.1
2020-10-01,218.4
2021-01-01,220.9
2021-04-01,219.9
2021-07-01,215.5
2021-10-01,205.0
2022-01-01,195.5
2022-04-01,187.6
2022-07-01,178.9
2022-10-01,176.5
2023-01-01,172.4
2023-04-01,170.9
2023-07-01,167.9
2023-10-01,165.6
2024-01-01,162.5
2024-04-01,160.6
2024-07-01,160.5
2024-10-01,155.4
2025-01-01,152.9
