Tarih,TP_BISTOPKREDI_QXM1
2000-01-01,74.4
2000-04-01,73.5
2000-07-01,72.7
2000-10-01,72.0
2001-01-01,71.7
2001-04-01,71.3
2001-07-01,71.4
2001-10-01,71.0
2002-01-01,70.8
2002-04-01,71.4
2002-07-01,72.5
2002-10-01,72.2
2003-01-01,73.4
2003-04-01,74.6
2003-07-01,74.1
2003-10-01,72.7
2004-01-01,74.7
2004-04-01,74.4
2004-07-01,74.8
2004-10-01,74.0
2005-01-01,75.0
2005-04-01,76.9
2005-07-01,76.1
2005-10-01,74.7
2006-01-01,73.8
2006-04-01,72.6
2006-07-01,72.7
2006-10-01,70.5
2007-01-01,70.2
2007-04-01,69.1
2007-07-01,68.4
2007-10-01,66.9
2008-01-01,68.1
2008-04-01,67.1
2008-07-01,68.1
2008-10-01,72.3
2009-01-01,76.3
2009-04-01,79.5
2009-07-01,82.4
2009-10-01,83.2
2010-01-01,85.5
2010-04-01,86.6
2010-07-01,87.2
2010-10-01,87.4
2011-01-01,87.3
2011-04-01,87.9
2011-07-01,88.8
2011-10-01,88.1
2012-01-01,91.6
2012-04-01,93.3
2012-07-01,95.5
2012-10-01,98.4
2013-01-01,100.1
2013-04-01,100.6
2013-07-01,99.9
2013-10-01,100.0
2014-01-01,102.8
2014-04-01,104.7
2014-07-01,105.2
2014-10-01,105.8
2015-01-01,108.9
2015-04-01,104.2
2015-07-01,104.4
2015-10-01,103.3
2016-01-01,105.7
2016-04-01,106.6
2016-07-01,105.4
2016-10-01,102.5
2017-01-01,101.5
2017-04-01,101.0
2017-07-01,99.9
2017-10-01,98.3
2018-01-01,98.5
2018-04-01,96.8
2018-07-01,95.7
2018-10-01,95.1
2019-01-01,96.8
2019-04-01,97.9
2019-07-01,99.4
2019-10-01,95.9
2020-01-01,97.8
2020-04-01,108.2
2020-07-01,111.6
2020-10-01,112.6
2021-01-01,112.9
2021-04-01,109.7
2021-07-01,108.6
2021-10-01,105.7
2022-01-01,100.9
2022-04-01,94.1
2022-07-01,89.2
2022-10-01,86.1
2023-01-01,86.6
2023-04-01,85.7
2023-07-01,83.4
2023-10-01,86.1
2024-01-01,85.7
2024-04-01,84.9
2024-07-01,86.8
2024-10-01,85.8
2025-01-01,85.4
