Tarih,TP_BISTOPKREDI_QCZ2
2000-01-01,6.6
2000-04-01,6.9
2000-07-01,8.4
2000-10-01,8.0
2001-01-01,9.4
2001-04-01,10.9
2001-07-01,7.9
2001-10-01,8.4
2002-01-01,8.7
2002-04-01,8.9
2002-07-01,9.9
2002-10-01,11.1
2003-01-01,11.3
2003-04-01,11.1
2003-07-01,11.3
2003-10-01,11.8
2004-01-01,12.2
2004-04-01,12.7
2004-07-01,12.9
2004-10-01,13.4
2005-01-01,14.1
2005-04-01,14.7
2005-07-01,15.1
2005-10-01,16.1
2006-01-01,16.4
2006-04-01,17.1
2006-07-01,17.8
2006-10-01,18.7
2007-01-01,19.2
2007-04-01,20.2
2007-07-01,21.1
2007-10-01,22.8
2008-01-01,23.1
2008-04-01,24.0
2008-07-01,24.7
2008-10-01,25.7
2009-01-01,26.2
2009-04-01,26.9
2009-07-01,27.7
2009-10-01,28.2
2010-01-01,28.4
2010-04-01,27.9
2010-07-01,28.0
2010-10-01,28.3
2011-01-01,28.4
2011-04-01,28.7
2011-07-01,29.1
2011-10-01,29.4
2012-01-01,29.3
2012-04-01,29.6
2012-07-01,29.8
2012-10-01,30.2
2013-01-01,30.3
2013-04-01,30.7
2013-07-01,31.0
2013-10-01,31.0
2014-01-01,30.8
2014-04-01,30.6
2014-07-01,30.1
2014-10-01,30.1
2015-01-01,29.7
2015-04-01,29.8
2015-07-01,29.8
2015-10-01,29.9
2016-01-01,29.8
2016-04-01,30.1
2016-07-01,30.5
2016-10-01,30.8
2017-01-01,30.9
2017-04-01,31.0
2017-07-01,30.9
2017-10-01,30.9
2018-01-01,30.8
2018-04-01,31.0
2018-07-01,31.2
2018-10-01,31.3
2019-01-01,31.1
2019-04-01,31.1
2019-07-01,31.0
2019-10-01,31.0
2020-01-01,31.1
2020-04-01,32.0
2020-07-01,32.6
2020-10-01,33.1
2021-01-01,33.4
2021-04-01,33.1
2021-07-01,33.5
2021-10-01,33.6
2022-01-01,33.3
2022-04-01,32.6
2022-07-01,32.0
2022-10-01,31.5
2023-01-01,30.9
2023-04-01,30.8
2023-07-01,30.6
2023-10-01,30.5
2024-01-01,30.4
2024-04-01,30.5
2024-07-01,30.6
2024-10-01,30.7
2025-01-01,30.8
