Tarih,TP_BISTOPKREDI_QXM3
2000-01-01,71.2
2000-04-01,72.1
2000-07-01,73.8
2000-10-01,76.2
2001-01-01,76.1
2001-04-01,76.9
2001-07-01,77.7
2001-10-01,79.8
2002-01-01,80.4
2002-04-01,80.7
2002-07-01,80.7
2002-10-01,81.3
2003-01-01,81.2
2003-04-01,81.9
2003-07-01,81.9
2003-10-01,82.3
2004-01-01,82.2
2004-04-01,82.2
2004-07-01,82.0
2004-10-01,83.2
2005-01-01,83.5
2005-04-01,85.1
2005-07-01,85.2
2005-10-01,85.8
2006-01-01,87.9
2006-04-01,89.0
2006-07-01,88.2
2006-10-01,88.7
2007-01-01,89.2
2007-04-01,90.8
2007-07-01,91.0
2007-10-01,94.3
2008-01-01,95.3
2008-04-01,97.2
2008-07-01,98.7
2008-10-01,98.3
2009-01-01,99.9
2009-04-01,100.9
2009-07-01,101.5
2009-10-01,105.0
2010-01-01,105.4
2010-04-01,106.3
2010-07-01,105.5
2010-10-01,105.4
2011-01-01,104.6
2011-04-01,105.0
2011-07-01,105.4
2011-10-01,106.9
2012-01-01,107.9
2012-04-01,109.0
2012-07-01,109.2
2012-10-01,108.4
2013-01-01,108.3
2013-04-01,108.1
2013-07-01,107.8
2013-10-01,106.8
2014-01-01,106.8
2014-04-01,107.3
2014-07-01,107.4
2014-10-01,108.8
2015-01-01,113.2
2015-04-01,112.4
2015-07-01,111.8
2015-10-01,110.8
2016-01-01,111.4
2016-04-01,112.2
2016-07-01,112.1
2016-10-01,111.7
2017-01-01,112.6
2017-04-01,111.4
2017-07-01,110.8
2017-10-01,110.5
2018-01-01,110.4
2018-04-01,111.1
2018-07-01,110.9
2018-10-01,109.9
2019-01-01,110.5
2019-04-01,110.7
2019-07-01,110.8
2019-10-01,109.8
2020-01-01,112.3
2020-04-01,118.9
2020-07-01,120.5
2020-10-01,122.3
2021-01-01,123.7
2021-04-01,120.2
2021-07-01,118.6
2021-10-01,117.3
2022-01-01,116.2
2022-04-01,115.2
2022-07-01,115.2
2022-10-01,113.1
2023-01-01,111.2
2023-04-01,109.9
2023-07-01,108.8
2023-10-01,107.9
2024-01-01,107.2
2024-04-01,107.0
2024-07-01,106.4
2024-10-01,105.9
2025-01-01,105.5
