Tarih,TP_BISTOPKREDI_QBE2
2000-01-01,41.7
2000-04-01,41.2
2000-07-01,40.8
2000-10-01,40.8
2001-01-01,40.4
2001-04-01,40.5
2001-07-01,39.1
2001-10-01,39.1
2002-01-01,38.6
2002-04-01,39.1
2002-07-01,38.9
2002-10-01,39.4
2003-01-01,39.2
2003-04-01,39.6
2003-07-01,39.2
2003-10-01,39.5
2004-01-01,39.6
2004-04-01,39.4
2004-07-01,39.8
2004-10-01,40.5
2005-01-01,41.2
2005-04-01,42.3
2005-07-01,42.6
2005-10-01,43.3
2006-01-01,43.8
2006-04-01,44.5
2006-07-01,44.9
2006-10-01,45.5
2007-01-01,45.8
2007-04-01,46.1
2007-07-01,46.6
2007-10-01,47.1
2008-01-01,47.5
2008-04-01,48.2
2008-07-01,48.9
2008-10-01,49.9
2009-01-01,50.8
2009-04-01,51.9
2009-07-01,52.8
2009-10-01,52.1
2010-01-01,52.2
2010-04-01,52.3
2010-07-01,52.6
2010-10-01,53.0
2011-01-01,53.0
2011-04-01,53.7
2011-07-01,53.9
2011-10-01,55.0
2012-01-01,55.1
2012-04-01,55.6
2012-07-01,55.2
2012-10-01,55.4
2013-01-01,55.7
2013-04-01,56.1
2013-07-01,56.3
2013-10-01,56.1
2014-01-01,56.1
2014-04-01,56.5
2014-07-01,56.8
2014-10-01,57.9
2015-01-01,58.1
2015-04-01,58.1
2015-07-01,58.3
2015-10-01,58.6
2016-01-01,58.7
2016-04-01,58.9
2016-07-01,58.9
2016-10-01,59.0
2017-01-01,58.9
2017-04-01,59.3
2017-07-01,59.5
2017-10-01,59.6
2018-01-01,59.1
2018-04-01,59.5
2018-07-01,59.4
2018-10-01,59.7
2019-01-01,60.0
2019-04-01,60.3
2019-07-01,60.2
2019-10-01,60.9
2020-01-01,61.0
2020-04-01,63.2
2020-07-01,64.2
2020-10-01,65.3
2021-01-01,66.0
2021-04-01,64.4
2021-07-01,63.9
2021-10-01,63.1
2022-01-01,62.1
2022-04-01,61.3
2022-07-01,60.2
2022-10-01,59.5
2023-01-01,58.4
2023-04-01,58.0
2023-07-01,57.5
2023-10-01,57.6
2024-01-01,57.4
2024-04-01,57.5
2024-07-01,57.5
2024-10-01,57.4
2025-01-01,57.3
