Tarih,TP_BISTOPKREDI_QDK1
2000-01-01,60.1
2000-04-01,58.5
2000-07-01,58.3
2000-10-01,55.4
2001-01-01,55.4
2001-04-01,55.1
2001-07-01,56.6
2001-10-01,52.8
2002-01-01,52.0
2002-04-01,52.9
2002-07-01,55.5
2002-10-01,53.4
2003-01-01,55.7
2003-04-01,55.9
2003-07-01,54.9
2003-10-01,50.6
2004-01-01,53.5
2004-04-01,53.4
2004-07-01,54.3
2004-10-01,48.6
2005-01-01,49.3
2005-04-01,50.0
2005-07-01,46.1
2005-10-01,41.7
2006-01-01,38.1
2006-04-01,37.8
2006-07-01,38.0
2006-10-01,34.2
2007-01-01,33.4
2007-04-01,32.2
2007-07-01,32.2
2007-10-01,29.6
2008-01-01,30.4
2008-04-01,29.1
2008-07-01,27.1
2008-10-01,37.2
2009-01-01,38.9
2009-04-01,42.0
2009-07-01,45.0
2009-10-01,44.7
2010-01-01,48.2
2010-04-01,52.4
2010-07-01,53.2
2010-10-01,49.4
2011-01-01,50.6
2011-04-01,52.8
2011-07-01,58.8
2011-10-01,56.5
2012-01-01,54.6
2012-04-01,56.9
2012-07-01,59.7
2012-10-01,57.0
2013-01-01,55.8
2013-04-01,56.1
2013-07-01,56.2
2013-10-01,52.6
2014-01-01,53.6
2014-04-01,54.4
2014-07-01,57.2
2014-10-01,56.0
2015-01-01,57.0
2015-04-01,53.0
2015-07-01,53.2
2015-10-01,50.5
2016-01-01,51.3
2016-04-01,52.8
2016-07-01,51.9
2016-10-01,48.9
2017-01-01,47.5
2017-04-01,47.1
2017-07-01,47.2
2017-10-01,46.1
2018-01-01,45.7
2018-04-01,45.7
2018-07-01,45.5
2018-10-01,44.5
2019-01-01,44.9
2019-04-01,47.1
2019-07-01,47.6
2019-10-01,45.4
2020-01-01,43.9
2020-04-01,52.2
2020-07-01,52.9
2020-10-01,52.2
2021-01-01,49.4
2021-04-01,48.1
2021-07-01,47.3
2021-10-01,44.2
2022-01-01,38.4
2022-04-01,34.5
2022-07-01,32.2
2022-10-01,31.1
2023-01-01,31.3
2023-04-01,31.9
2023-07-01,31.4
2023-10-01,31.7
2024-01-01,31.6
2024-04-01,31.7
2024-07-01,32.0
2024-10-01,29.7
2025-01-01,28.6
