Tarih,TP_BISTOPKREDI_QDE2
2000-01-01,69.8
2000-04-01,70.1
2000-07-01,70.2
2000-10-01,70.5
2001-01-01,69.9
2001-04-01,69.6
2001-07-01,69.6
2001-10-01,69.2
2002-01-01,68.9
2002-04-01,68.9
2002-07-01,68.9
2002-10-01,69.1
2003-01-01,68.8
2003-04-01,69.0
2003-07-01,69.2
2003-10-01,69.3
2004-01-01,68.4
2004-04-01,68.1
2004-07-01,68.3
2004-10-01,68.1
2005-01-01,67.3
2005-04-01,67.5
2005-07-01,67.3
2005-10-01,66.9
2006-01-01,66.4
2006-04-01,65.8
2006-07-01,65.3
2006-10-01,64.1
2007-01-01,62.8
2007-04-01,62.0
2007-07-01,61.2
2007-10-01,60.4
2008-01-01,59.4
2008-04-01,59.1
2008-07-01,58.9
2008-10-01,58.8
2009-01-01,59.3
2009-04-01,60.2
2009-07-01,60.9
2009-10-01,60.9
2010-01-01,60.2
2010-04-01,59.7
2010-07-01,59.1
2010-10-01,58.4
2011-01-01,57.3
2011-04-01,56.7
2011-07-01,56.5
2011-10-01,56.1
2012-01-01,55.7
2012-04-01,55.6
2012-07-01,55.6
2012-10-01,55.5
2013-01-01,55.1
2013-04-01,55.0
2013-07-01,54.9
2013-10-01,54.5
2014-01-01,53.9
2014-04-01,53.6
2014-07-01,53.4
2014-10-01,53.1
2015-01-01,52.8
2015-04-01,52.7
2015-07-01,52.7
2015-10-01,52.6
2016-01-01,52.3
2016-04-01,52.4
2016-07-01,52.5
2016-10-01,52.4
2017-01-01,52.2
2017-04-01,52.2
2017-07-01,52.1
2017-10-01,51.8
2018-01-01,51.1
2018-04-01,51.1
2018-07-01,51.4
2018-10-01,51.5
2019-01-01,51.6
2019-04-01,52.0
2019-07-01,52.3
2019-10-01,52.4
2020-01-01,52.5
2020-04-01,54.0
2020-07-01,55.2
2020-10-01,56.1
2021-01-01,56.5
2021-04-01,55.7
2021-07-01,55.6
2021-10-01,55.3
2022-01-01,54.7
2022-04-01,54.3
2022-07-01,54.0
2022-10-01,53.2
2023-01-01,52.4
2023-04-01,51.7
2023-07-01,51.2
2023-10-01,50.6
2024-01-01,50.1
2024-04-01,49.9
2024-07-01,49.8
2024-10-01,49.6
2025-01-01,49.4
