Tarih,TP_BISTOPKREDI_Q4T2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,26.0
2008-04-01,25.3
2008-07-01,23.2
2008-10-01,22.1
2009-01-01,22.5
2009-04-01,25.7
2009-07-01,28.2
2009-10-01,28.4
2010-01-01,28.4
2010-04-01,27.5
2010-07-01,29.0
2010-10-01,29.3
2011-01-01,29.5
2011-04-01,29.5
2011-07-01,27.4
2011-10-01,27.6
2012-01-01,28.4
2012-04-01,28.1
2012-07-01,29.7
2012-10-01,30.4
2013-01-01,30.7
2013-04-01,30.7
2013-07-01,31.3
2013-10-01,31.7
2014-01-01,32.1
2014-04-01,33.0
2014-07-01,32.5
2014-10-01,32.2
2015-01-01,32.5
2015-04-01,33.7
2015-07-01,33.5
2015-10-01,34.4
2016-01-01,36.5
2016-04-01,37.5
2016-07-01,38.6
2016-10-01,38.0
2017-01-01,39.2
2017-04-01,40.1
2017-07-01,41.0
2017-10-01,42.0
2018-01-01,42.5
2018-04-01,40.4
2018-07-01,40.2
2018-10-01,41.4
2019-01-01,43.2
2019-04-01,44.0
2019-07-01,43.4
2019-10-01,45.4
2020-01-01,44.2
2020-04-01,47.4
2020-07-01,50.6
2020-10-01,53.9
2021-01-01,52.5
2021-04-01,51.6
2021-07-01,50.2
2021-10-01,50.3
2022-01-01,50.0
2022-04-01,47.8
2022-07-01,45.5
2022-10-01,47.5
2023-01-01,48.1
2023-04-01,46.9
2023-07-01,46.8
2023-10-01,48.1
2024-01-01,47.7
2024-04-01,47.3
2024-07-01,48.6
2024-10-01,46.3
2025-01-01,47.2
