Tarih,TP_BISTOPKREDI_QNZ3
2000-01-01,83.0
2000-04-01,83.7
2000-07-01,84.3
2000-10-01,85.3
2001-01-01,87.8
2001-04-01,88.9
2001-07-01,81.9
2001-10-01,82.1
2002-01-01,84.3
2002-04-01,83.2
2002-07-01,83.7
2002-10-01,83.8
2003-01-01,83.6
2003-04-01,82.8
2003-07-01,81.0
2003-10-01,79.5
2004-01-01,79.5
2004-04-01,83.1
2004-07-01,80.8
2004-10-01,84.4
2005-01-01,85.5
2005-04-01,86.2
2005-07-01,87.4
2005-10-01,90.3
2006-01-01,91.2
2006-04-01,94.1
2006-07-01,95.6
2006-10-01,95.7
2007-01-01,98.2
2007-04-01,99.6
2007-07-01,99.4
2007-10-01,99.4
2008-01-01,100.0
2008-04-01,102.7
2008-07-01,105.0
2008-10-01,107.2
2009-01-01,108.8
2009-04-01,107.2
2009-07-01,105.2
2009-10-01,101.9
2010-01-01,100.8
2010-04-01,99.1
2010-07-01,97.3
2010-10-01,96.4
2011-01-01,95.6
2011-04-01,94.6
2011-07-01,93.0
2011-10-01,90.7
2012-01-01,90.9
2012-04-01,90.1
2012-07-01,90.1
2012-10-01,90.7
2013-01-01,90.4
2013-04-01,90.0
2013-07-01,89.2
2013-10-01,87.1
2014-01-01,86.2
2014-04-01,85.8
2014-07-01,85.9
2014-10-01,86.1
2015-01-01,86.1
2015-04-01,86.0
2015-07-01,86.0
2015-10-01,85.3
2016-01-01,85.7
2016-04-01,84.8
2016-07-01,85.2
2016-10-01,84.3
2017-01-01,83.7
2017-04-01,83.2
2017-07-01,82.9
2017-10-01,82.7
2018-01-01,82.0
2018-04-01,81.9
2018-07-01,81.4
2018-10-01,81.3
2019-01-01,80.4
2019-04-01,80.6
2019-07-01,80.3
2019-10-01,78.9
2020-01-01,80.1
2020-04-01,80.6
2020-07-01,78.6
2020-10-01,77.4
2021-01-01,76.6
2021-04-01,73.7
2021-07-01,73.6
2021-10-01,73.0
2022-01-01,72.8
2022-04-01,72.8
2022-07-01,72.2
2022-10-01,71.7
2023-01-01,69.5
2023-04-01,70.1
2023-07-01,69.2
2023-10-01,69.1
2024-01-01,69.0
2024-04-01,69.3
2024-07-01,69.8
2024-10-01,69.7
2025-01-01,69.6
