Tarih,TP_BISTOPKREDI_QIT2
2000-01-01,21.4
2000-04-01,21.6
2000-07-01,21.8
2000-10-01,22.6
2001-01-01,22.8
2001-04-01,23.3
2001-07-01,23.5
2001-10-01,23.9
2002-01-01,24.2
2002-04-01,24.8
2002-07-01,25.0
2002-10-01,25.6
2003-01-01,25.8
2003-04-01,26.3
2003-07-01,26.6
2003-10-01,27.3
2004-01-01,27.7
2004-04-01,28.5
2004-07-01,28.9
2004-10-01,29.8
2005-01-01,30.3
2005-04-01,31.3
2005-07-01,31.8
2005-10-01,32.7
2006-01-01,33.4
2006-04-01,34.2
2006-07-01,34.6
2006-10-01,35.4
2007-01-01,36.1
2007-04-01,36.9
2007-07-01,37.3
2007-10-01,37.9
2008-01-01,38.0
2008-04-01,38.3
2008-07-01,38.5
2008-10-01,38.8
2009-01-01,39.6
2009-04-01,41.0
2009-07-01,41.6
2009-10-01,42.2
2010-01-01,42.7
2010-04-01,43.1
2010-07-01,43.2
2010-10-01,43.3
2011-01-01,43.2
2011-04-01,43.4
2011-07-01,43.3
2011-10-01,43.3
2012-01-01,43.1
2012-04-01,43.3
2012-07-01,43.3
2012-10-01,43.4
2013-01-01,43.4
2013-04-01,43.4
2013-07-01,43.2
2013-10-01,43.0
2014-01-01,42.7
2014-04-01,42.7
2014-07-01,42.3
2014-10-01,42.3
2015-01-01,42.1
2015-04-01,42.0
2015-07-01,41.8
2015-10-01,41.6
2016-01-01,41.5
2016-04-01,41.4
2016-07-01,41.2
2016-10-01,41.1
2017-01-01,41.0
2017-04-01,40.8
2017-07-01,40.7
2017-10-01,40.7
2018-01-01,40.4
2018-04-01,40.8
2018-07-01,40.7
2018-10-01,40.8
2019-01-01,40.8
2019-04-01,41.0
2019-07-01,41.0
2019-10-01,41.1
2020-01-01,41.4
2020-04-01,43.4
2020-07-01,44.2
2020-10-01,44.9
2021-01-01,44.9
2021-04-01,43.4
2021-07-01,42.7
2021-10-01,42.2
2022-01-01,41.5
2022-04-01,41.0
2022-07-01,40.5
2022-10-01,40.0
2023-01-01,39.1
2023-04-01,38.3
2023-07-01,37.6
2023-10-01,37.1
2024-01-01,36.5
2024-04-01,36.4
2024-07-01,36.2
2024-10-01,36.2
2025-01-01,36.1
