Tarih,TP_BISTOPKREDI_QZA3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,37.9
2008-04-01,38.2
2008-07-01,38.5
2008-10-01,38.6
2009-01-01,38.9
2009-04-01,37.1
2009-07-01,36.3
2009-10-01,36.7
2010-01-01,36.2
2010-04-01,36.0
2010-07-01,35.9
2010-10-01,34.7
2011-01-01,33.9
2011-04-01,33.8
2011-07-01,33.4
2011-10-01,33.5
2012-01-01,34.2
2012-04-01,33.8
2012-07-01,34.7
2012-10-01,34.7
2013-01-01,35.3
2013-04-01,36.0
2013-07-01,36.1
2013-10-01,36.5
2014-01-01,37.0
2014-04-01,37.1
2014-07-01,37.7
2014-10-01,36.7
2015-01-01,38.0
2015-04-01,38.0
2015-07-01,38.4
2015-10-01,40.1
2016-01-01,41.0
2016-04-01,40.3
2016-07-01,40.7
2016-10-01,40.3
2017-01-01,41.1
2017-04-01,40.1
2017-07-01,40.7
2017-10-01,39.9
2018-01-01,40.3
2018-04-01,39.9
2018-07-01,40.2
2018-10-01,39.1
2019-01-01,41.0
2019-04-01,39.8
2019-07-01,40.7
2019-10-01,39.2
2020-01-01,41.4
2020-04-01,41.7
2020-07-01,39.8
2020-10-01,38.7
2021-01-01,38.3
2021-04-01,35.0
2021-07-01,35.2
2021-10-01,33.6
2022-01-01,33.7
2022-04-01,33.7
2022-07-01,34.7
2022-10-01,34.7
2023-01-01,35.0
2023-04-01,33.7
2023-07-01,34.0
2023-10-01,32.9
2024-01-01,34.2
2024-04-01,33.1
2024-07-01,33.9
2024-10-01,33.1
2025-01-01,33.4
