Tarih,TP_BISTOPKREDI_QMX2
2000-01-01,8.0
2000-04-01,7.9
2000-07-01,7.6
2000-10-01,7.3
2001-01-01,7.4
2001-04-01,7.3
2001-07-01,7.4
2001-10-01,7.6
2002-01-01,7.8
2002-04-01,8.0
2002-07-01,8.2
2002-10-01,8.3
2003-01-01,8.4
2003-04-01,8.5
2003-07-01,8.7
2003-10-01,8.9
2004-01-01,9.1
2004-04-01,9.2
2004-07-01,9.3
2004-10-01,9.6
2005-01-01,9.8
2005-04-01,9.9
2005-07-01,10.1
2005-10-01,10.5
2006-01-01,10.9
2006-04-01,11.0
2006-07-01,11.2
2006-10-01,11.4
2007-01-01,11.4
2007-04-01,11.5
2007-07-01,11.8
2007-10-01,12.9
2008-01-01,13.1
2008-04-01,13.0
2008-07-01,13.0
2008-10-01,12.7
2009-01-01,13.0
2009-04-01,13.1
2009-07-01,13.3
2009-10-01,12.9
2010-01-01,13.0
2010-04-01,12.8
2010-07-01,12.7
2010-10-01,12.7
2011-01-01,12.9
2011-04-01,13.0
2011-07-01,13.1
2011-10-01,13.0
2012-01-01,13.2
2012-04-01,13.1
2012-07-01,13.2
2012-10-01,13.3
2013-01-01,13.5
2013-04-01,13.6
2013-07-01,14.0
2013-10-01,14.0
2014-01-01,14.2
2014-04-01,14.1
2014-07-01,14.2
2014-10-01,14.1
2015-01-01,14.4
2015-04-01,14.4
2015-07-01,14.6
2015-10-01,14.7
2016-01-01,15.3
2016-04-01,15.4
2016-07-01,15.6
2016-10-01,15.5
2017-01-01,15.5
2017-04-01,15.4
2017-07-01,15.6
2017-10-01,15.6
2018-01-01,15.8
2018-04-01,15.7
2018-07-01,15.7
2018-10-01,15.6
2019-01-01,15.8
2019-04-01,15.8
2019-07-01,16.0
2019-10-01,15.6
2020-01-01,15.8
2020-04-01,16.4
2020-07-01,16.6
2020-10-01,16.7
2021-01-01,16.9
2021-04-01,16.1
2021-07-01,16.1
2021-10-01,16.0
2022-01-01,16.1
2022-04-01,16.1
2022-07-01,16.0
2022-10-01,16.0
2023-01-01,16.1
2023-04-01,16.1
2023-07-01,16.2
2023-10-01,16.2
2024-01-01,16.4
2024-04-01,16.5
2024-07-01,16.5
2024-10-01,16.7
2025-01-01,16.7
