Tarih,TP_BISTOPKREDI_QFI1
2000-01-01,52.0
2000-04-01,49.5
2000-07-01,50.1
2000-10-01,48.9
2001-01-01,47.7
2001-04-01,46.4
2001-07-01,46.1
2001-10-01,46.4
2002-01-01,44.1
2002-04-01,44.4
2002-07-01,45.5
2002-10-01,46.0
2003-01-01,47.2
2003-04-01,48.9
2003-07-01,46.9
2003-10-01,47.1
2004-01-01,44.8
2004-04-01,45.2
2004-07-01,45.8
2004-10-01,47.1
2005-01-01,42.6
2005-04-01,43.9
2005-07-01,42.4
2005-10-01,44.4
2006-01-01,40.4
2006-04-01,42.1
2006-07-01,38.9
2006-10-01,41.0
2007-01-01,38.6
2007-04-01,38.3
2007-07-01,35.1
2007-10-01,36.5
2008-01-01,35.0
2008-04-01,34.6
2008-07-01,31.1
2008-10-01,36.0
2009-01-01,40.9
2009-04-01,37.6
2009-07-01,41.6
2009-10-01,45.8
2010-01-01,48.4
2010-04-01,51.8
2010-07-01,50.9
2010-10-01,52.4
2011-01-01,50.0
2011-04-01,50.3
2011-07-01,53.2
2011-10-01,55.7
2012-01-01,56.4
2012-04-01,60.6
2012-07-01,59.8
2012-10-01,62.6
2013-01-01,63.7
2013-04-01,64.7
2013-07-01,61.3
2013-10-01,63.4
2014-01-01,66.0
2014-04-01,68.0
2014-07-01,68.0
2014-10-01,70.9
2015-01-01,73.6
2015-04-01,72.8
2015-07-01,71.2
2015-10-01,74.1
2016-01-01,75.3
2016-04-01,73.7
2016-07-01,73.2
2016-10-01,74.3
2017-01-01,73.9
2017-04-01,71.9
2017-07-01,69.6
2017-10-01,70.3
2018-01-01,69.0
2018-04-01,69.1
2018-07-01,67.9
2018-10-01,68.8
2019-01-01,70.1
2019-04-01,72.0
2019-07-01,71.0
2019-10-01,69.5
2020-01-01,74.5
2020-04-01,79.5
2020-07-01,77.7
2020-10-01,80.6
2021-01-01,80.4
2021-04-01,78.9
2021-07-01,78.0
2021-10-01,76.5
2022-01-01,73.7
2022-04-01,70.3
2022-07-01,67.2
2022-10-01,67.6
2023-01-01,67.7
2023-04-01,68.5
2023-07-01,67.3
2023-10-01,72.3
2024-01-01,73.4
2024-04-01,74.7
2024-07-01,77.6
2024-10-01,77.7
2025-01-01,78.5
