Tarih,TP_BISTOPKREDI_QHU2
2000-01-01,5.2
2000-04-01,5.6
2000-07-01,6.0
2000-10-01,6.5
2001-01-01,6.7
2001-04-01,7.1
2001-07-01,7.6
2001-10-01,8.3
2002-01-01,8.5
2002-04-01,9.6
2002-07-01,10.8
2002-10-01,11.8
2003-01-01,12.8
2003-04-01,14.4
2003-07-01,15.8
2003-10-01,17.1
2004-01-01,17.5
2004-04-01,18.3
2004-07-01,19.1
2004-10-01,20.1
2005-01-01,20.6
2005-04-01,21.6
2005-07-01,22.6
2005-10-01,23.6
2006-01-01,24.2
2006-04-01,26.0
2006-07-01,26.5
2006-10-01,26.2
2007-01-01,26.4
2007-04-01,27.3
2007-07-01,28.9
2007-10-01,30.1
2008-01-01,32.2
2008-04-01,30.9
2008-07-01,33.0
2008-10-01,36.6
2009-01-01,40.7
2009-04-01,37.5
2009-07-01,37.7
2009-10-01,37.9
2010-01-01,38.1
2010-04-01,41.2
2010-07-01,39.3
2010-10-01,39.8
2011-01-01,36.8
2011-04-01,37.6
2011-07-01,39.1
2011-10-01,37.8
2012-01-01,34.3
2012-04-01,33.3
2012-07-01,32.3
2012-10-01,32.0
2013-01-01,31.8
2013-04-01,30.2
2013-07-01,29.6
2013-10-01,28.5
2014-01-01,28.0
2014-04-01,27.3
2014-07-01,26.6
2014-10-01,25.9
2015-01-01,23.8
2015-04-01,23.1
2015-07-01,22.4
2015-10-01,21.4
2016-01-01,20.9
2016-04-01,20.5
2016-07-01,20.3
2016-10-01,20.3
2017-01-01,19.9
2017-04-01,19.7
2017-07-01,19.4
2017-10-01,18.8
2018-01-01,18.4
2018-04-01,18.3
2018-07-01,18.1
2018-10-01,17.8
2019-01-01,17.5
2019-04-01,17.4
2019-07-01,18.0
2019-10-01,18.4
2020-01-01,18.7
2020-04-01,19.6
2020-07-01,20.3
2020-10-01,20.7
2021-01-01,21.1
2021-04-01,21.0
2021-07-01,21.3
2021-10-01,21.0
2022-01-01,20.1
2022-04-01,19.8
2022-07-01,19.2
2022-10-01,18.6
2023-01-01,18.0
2023-04-01,17.5
2023-07-01,17.2
2023-10-01,16.8
2024-01-01,16.7
2024-04-01,16.7
2024-07-01,16.9
2024-10-01,17.0
2025-01-01,17.1
