Tarih,TP_BISTOPKREDI_QLU3
2000-01-01,119.2
2000-04-01,119.5
2000-07-01,122.3
2000-10-01,125.8
2001-01-01,131.1
2001-04-01,135.3
2001-07-01,144.6
2001-10-01,149.9
2002-01-01,124.8
2002-04-01,127.8
2002-07-01,131.2
2002-10-01,136.3
2003-01-01,135.9
2003-04-01,135.8
2003-07-01,135.0
2003-10-01,133.1
2004-01-01,140.4
2004-04-01,147.3
2004-07-01,153.4
2004-10-01,160.8
2005-01-01,160.9
2005-04-01,160.2
2005-07-01,158.6
2005-10-01,153.7
2006-01-01,154.4
2006-04-01,156.0
2006-07-01,158.7
2006-10-01,163.0
2007-01-01,193.2
2007-04-01,220.9
2007-07-01,248.4
2007-10-01,275.5
2008-01-01,269.4
2008-04-01,264.6
2008-07-01,259.4
2008-10-01,256.8
2009-01-01,268.5
2009-04-01,281.7
2009-07-01,292.4
2009-10-01,290.4
2010-01-01,278.5
2010-04-01,265.0
2010-07-01,253.9
2010-10-01,243.6
2011-01-01,245.5
2011-04-01,257.5
2011-07-01,262.9
2011-10-01,271.2
2012-01-01,283.5
2012-04-01,286.4
2012-07-01,290.8
2012-10-01,290.3
2013-01-01,288.5
2013-04-01,286.6
2013-07-01,286.3
2013-10-01,285.5
2014-01-01,287.8
2014-04-01,286.0
2014-07-01,288.2
2014-10-01,326.7
2015-01-01,341.5
2015-04-01,338.9
2015-07-01,307.4
2015-10-01,321.9
2016-01-01,323.7
2016-04-01,309.7
2016-07-01,334.2
2016-10-01,306.6
2017-01-01,302.4
2017-04-01,318.5
2017-07-01,311.7
2017-10-01,319.4
2018-01-01,332.1
2018-04-01,320.0
2018-07-01,329.3
2018-10-01,355.5
2019-01-01,365.1
2019-04-01,372.5
2019-07-01,371.2
2019-10-01,368.0
2020-01-01,377.2
2020-04-01,393.0
2020-07-01,383.7
2020-10-01,384.8
2021-01-01,387.2
2021-04-01,383.3
2021-07-01,383.7
2021-10-01,390.8
2022-01-01,390.6
2022-04-01,407.7
2022-07-01,415.7
2022-10-01,414.1
2023-01-01,412.2
2023-04-01,405.8
2023-07-01,399.9
2023-10-01,402.5
2024-01-01,392.3
2024-04-01,387.8
2024-07-01,382.7
2024-10-01,378.9
2025-01-01,375.9
