Tarih,TP_BISTOPKREDI_QSA3
2000-01-01,17.0
2000-04-01,16.3
2000-07-01,15.9
2000-10-01,15.7
2001-01-01,15.4
2001-04-01,15.6
2001-07-01,16.0
2001-10-01,16.6
2002-01-01,16.6
2002-04-01,17.4
2002-07-01,17.1
2002-10-01,16.4
2003-01-01,16.7
2003-04-01,16.5
2003-07-01,16.2
2003-10-01,15.6
2004-01-01,14.0
2004-04-01,15.2
2004-07-01,17.2
2004-10-01,17.8
2005-01-01,17.3
2005-04-01,18.6
2005-07-01,18.9
2005-10-01,19.3
2006-01-01,18.7
2006-04-01,18.3
2006-07-01,18.3
2006-10-01,18.8
2007-01-01,19.5
2007-04-01,21.4
2007-07-01,23.6
2007-10-01,23.6
2008-01-01,23.9
2008-04-01,24.0
2008-07-01,23.6
2008-10-01,25.1
2009-01-01,26.4
2009-04-01,29.4
2009-07-01,31.3
2009-10-01,28.9
2010-01-01,27.7
2010-04-01,26.3
2010-07-01,26.0
2010-10-01,24.7
2011-01-01,24.3
2011-04-01,23.2
2011-07-01,22.8
2011-10-01,20.1
2012-01-01,21.7
2012-04-01,21.0
2012-07-01,19.6
2012-10-01,19.3
2013-01-01,20.2
2013-04-01,21.5
2013-07-01,22.0
2013-10-01,22.2
2014-01-01,23.7
2014-04-01,24.4
2014-07-01,25.1
2014-10-01,24.6
2015-01-01,26.0
2015-04-01,27.8
2015-07-01,29.2
2015-10-01,31.5
2016-01-01,32.7
2016-04-01,34.6
2016-07-01,34.2
2016-10-01,32.8
2017-01-01,32.5
2017-04-01,32.4
2017-07-01,31.8
2017-10-01,30.7
2018-01-01,31.1
2018-04-01,29.6
2018-07-01,28.8
2018-10-01,28.1
2019-01-01,27.8
2019-04-01,28.9
2019-07-01,29.4
2019-10-01,30.4
2020-01-01,34.3
2020-04-01,38.1
2020-07-01,40.6
2020-10-01,43.7
2021-01-01,44.8
2021-04-01,43.3
2021-07-01,41.3
2021-10-01,37.8
2022-01-01,36.0
2022-04-01,33.5
2022-07-01,33.7
2022-10-01,32.6
2023-01-01,32.9
2023-04-01,34.5
2023-07-01,36.0
2023-10-01,36.6
2024-01-01,37.9
2024-04-01,37.9
2024-07-01,39.7
2024-10-01,40.8
2025-01-01,43.6
