Tarih,TP_BISTOPKREDI_QNL3
2000-01-01,167.0
2000-04-01,167.6
2000-07-01,168.4
2000-10-01,170.7
2001-01-01,166.2
2001-04-01,165.7
2001-07-01,164.1
2001-10-01,165.5
2002-01-01,164.1
2002-04-01,160.4
2002-07-01,161.7
2002-10-01,159.8
2003-01-01,159.2
2003-04-01,159.7
2003-07-01,159.9
2003-10-01,170.3
2004-01-01,168.2
2004-04-01,166.2
2004-07-01,165.0
2004-10-01,166.5
2005-01-01,165.7
2005-04-01,171.3
2005-07-01,171.4
2005-10-01,168.3
2006-01-01,166.9
2006-04-01,164.0
2006-07-01,165.1
2006-10-01,161.2
2007-01-01,162.5
2007-04-01,161.1
2007-07-01,161.3
2007-10-01,160.2
2008-01-01,163.9
2008-04-01,166.1
2008-07-01,164.4
2008-10-01,162.8
2009-01-01,165.8
2009-04-01,168.6
2009-07-01,170.4
2009-10-01,167.5
2010-01-01,173.7
2010-04-01,178.9
2010-07-01,180.8
2010-10-01,183.8
2011-01-01,186.2
2011-04-01,191.3
2011-07-01,193.5
2011-10-01,199.1
2012-01-01,202.1
2012-04-01,206.4
2012-07-01,207.9
2012-10-01,208.1
2013-01-01,209.8
2013-04-01,212.3
2013-07-01,213.1
2013-10-01,214.6
2014-01-01,215.1
2014-04-01,217.6
2014-07-01,219.0
2014-10-01,225.7
2015-01-01,231.5
2015-04-01,230.6
2015-07-01,229.0
2015-10-01,227.2
2016-01-01,226.8
2016-04-01,226.7
2016-07-01,233.5
2016-10-01,231.3
2017-01-01,232.9
2017-04-01,231.7
2017-07-01,232.3
2017-10-01,229.2
2018-01-01,229.6
2018-04-01,226.1
2018-07-01,224.0
2018-10-01,222.0
2019-01-01,219.7
2019-04-01,216.7
2019-07-01,214.6
2019-10-01,210.5
2020-01-01,212.9
2020-04-01,217.5
2020-07-01,218.7
2020-10-01,215.1
2021-01-01,227.4
2021-04-01,222.1
2021-07-01,216.8
2021-10-01,212.5
2022-01-01,208.8
2022-04-01,205.7
2022-07-01,206.2
2022-10-01,199.8
2023-01-01,190.8
2023-04-01,188.8
2023-07-01,188.8
2023-10-01,188.3
2024-01-01,183.6
2024-04-01,180.5
2024-07-01,178.1
2024-10-01,174.9
2025-01-01,172.2
