Tarih,TP_BISTOPKREDI_QFR1
2000-01-01,63.8
2000-04-01,63.3
2000-07-01,62.5
2000-10-01,62.8
2001-01-01,62.3
2001-04-01,62.7
2001-07-01,63.6
2001-10-01,62.6
2002-01-01,62.5
2002-04-01,64.0
2002-07-01,65.2
2002-10-01,65.6
2003-01-01,67.8
2003-04-01,70.1
2003-07-01,70.3
2003-10-01,69.3
2004-01-01,71.1
2004-04-01,71.1
2004-07-01,71.6
2004-10-01,72.2
2005-01-01,73.1
2005-04-01,74.1
2005-07-01,74.1
2005-10-01,73.6
2006-01-01,72.3
2006-04-01,70.1
2006-07-01,70.8
2006-10-01,68.3
2007-01-01,69.2
2007-04-01,68.6
2007-07-01,68.5
2007-10-01,67.0
2008-01-01,69.0
2008-04-01,67.8
2008-07-01,69.5
2008-10-01,73.8
2009-01-01,78.9
2009-04-01,83.6
2009-07-01,87.4
2009-10-01,88.4
2010-01-01,91.6
2010-04-01,94.8
2010-07-01,94.0
2010-10-01,91.7
2011-01-01,91.6
2011-04-01,93.3
2011-07-01,95.4
2011-10-01,94.3
2012-01-01,97.9
2012-04-01,99.7
2012-07-01,100.8
2012-10-01,101.9
2013-01-01,103.1
2013-04-01,102.7
2013-07-01,101.8
2013-10-01,101.7
2014-01-01,104.9
2014-04-01,107.0
2014-07-01,108.7
2014-10-01,109.3
2015-01-01,114.7
2015-04-01,110.2
2015-07-01,110.9
2015-10-01,109.5
2016-01-01,114.4
2016-04-01,116.8
2016-07-01,116.5
2016-10-01,112.5
2017-01-01,113.0
2017-04-01,113.4
2017-07-01,112.8
2017-10-01,111.0
2018-01-01,111.9
2018-04-01,111.8
2018-07-01,111.0
2018-10-01,109.8
2019-01-01,112.9
2019-04-01,113.8
2019-07-01,115.5
2019-10-01,112.0
2020-01-01,115.0
2020-04-01,129.0
2020-07-01,132.6
2020-10-01,132.6
2021-01-01,132.9
2021-04-01,127.8
2021-07-01,128.9
2021-10-01,125.9
2022-01-01,122.7
2022-04-01,113.5
2022-07-01,109.5
2022-10-01,105.0
2023-01-01,106.6
2023-04-01,104.9
2023-07-01,102.6
2023-10-01,106.0
2024-01-01,105.6
2024-04-01,104.8
2024-07-01,108.4
2024-10-01,107.2
2025-01-01,107.3
