Tarih,TP_BISTOPKREDI_QPL2
2000-01-01,6.4
2000-04-01,7.7
2000-07-01,7.2
2000-10-01,7.1
2001-01-01,7.6
2001-04-01,7.9
2001-07-01,9.1
2001-10-01,8.9
2002-01-01,9.6
2002-04-01,11.1
2002-07-01,12.3
2002-10-01,12.8
2003-01-01,13.3
2003-04-01,13.1
2003-07-01,13.2
2003-10-01,12.9
2004-01-01,12.9
2004-04-01,13.3
2004-07-01,13.4
2004-10-01,13.3
2005-01-01,13.4
2005-04-01,13.7
2005-07-01,14.3
2005-10-01,15.0
2006-01-01,15.4
2006-04-01,16.6
2006-07-01,17.5
2006-10-01,18.3
2007-01-01,19.2
2007-04-01,20.4
2007-07-01,21.9
2007-10-01,22.7
2008-01-01,23.7
2008-04-01,24.8
2008-07-01,26.5
2008-10-01,30.0
2009-01-01,31.5
2009-04-01,31.5
2009-07-01,31.4
2009-10-01,31.6
2010-01-01,31.7
2010-04-01,33.7
2010-07-01,33.6
2010-10-01,34.3
2011-01-01,33.7
2011-04-01,34.5
2011-07-01,35.7
2011-10-01,35.2
2012-01-01,34.5
2012-04-01,34.8
2012-07-01,34.3
2012-10-01,34.2
2013-01-01,34.8
2013-04-01,35.5
2013-07-01,35.8
2013-10-01,35.5
2014-01-01,35.6
2014-04-01,35.9
2014-07-01,36.2
2014-10-01,35.8
2015-01-01,36.4
2015-04-01,36.8
2015-07-01,36.4
2015-10-01,35.9
2016-01-01,35.8
2016-04-01,36.3
2016-07-01,36.3
2016-10-01,36.6
2017-01-01,35.9
2017-04-01,35.8
2017-07-01,35.4
2017-10-01,34.8
2018-01-01,34.8
2018-04-01,35.1
2018-07-01,34.8
2018-10-01,34.6
2019-01-01,34.5
2019-04-01,34.4
2019-07-01,34.6
2019-10-01,34.1
2020-01-01,34.3
2020-04-01,34.5
2020-07-01,34.5
2020-10-01,34.3
2021-01-01,33.9
2021-04-01,33.0
2021-07-01,32.7
2021-10-01,31.9
2022-01-01,30.7
2022-04-01,29.4
2022-07-01,28.2
2022-10-01,26.3
2023-01-01,25.0
2023-04-01,24.2
2023-07-01,24.0
2023-10-01,23.6
2024-01-01,23.4
2024-04-01,23.3
2024-07-01,23.2
2024-10-01,22.8
2025-01-01,22.5
