Tarih,TP_BISTOPKREDI_QNO2
2000-01-01,54.5
2000-04-01,53.8
2000-07-01,53.0
2000-10-01,52.5
2001-01-01,52.6
2001-04-01,53.2
2001-07-01,54.3
2001-10-01,56.3
2002-01-01,57.9
2002-04-01,59.9
2002-07-01,61.5
2002-10-01,62.3
2003-01-01,62.7
2003-04-01,64.2
2003-07-01,65.3
2003-10-01,66.6
2004-01-01,67.2
2004-04-01,67.5
2004-07-01,67.5
2004-10-01,67.6
2005-01-01,67.7
2005-04-01,68.2
2005-07-01,68.3
2005-10-01,68.7
2006-01-01,68.2
2006-04-01,68.4
2006-07-01,68.9
2006-10-01,69.9
2007-01-01,70.6
2007-04-01,72.1
2007-07-01,73.1
2007-10-01,73.5
2008-01-01,72.6
2008-04-01,72.0
2008-07-01,70.8
2008-10-01,71.2
2009-01-01,73.1
2009-04-01,76.1
2009-07-01,79.0
2009-10-01,81.2
2010-01-01,80.5
2010-04-01,80.8
2010-07-01,81.8
2010-10-01,81.5
2011-01-01,81.3
2011-04-01,81.4
2011-07-01,81.0
2011-10-01,81.1
2012-01-01,80.8
2012-04-01,81.1
2012-07-01,81.7
2012-10-01,82.6
2013-01-01,83.6
2013-04-01,84.9
2013-07-01,85.1
2013-10-01,85.5
2014-01-01,85.8
2014-04-01,86.4
2014-07-01,87.6
2014-10-01,88.9
2015-01-01,90.3
2015-04-01,92.0
2015-07-01,93.4
2015-10-01,95.2
2016-01-01,96.8
2016-04-01,99.3
2016-07-01,101.5
2016-10-01,101.8
2017-01-01,101.3
2017-04-01,101.4
2017-07-01,101.3
2017-10-01,101.1
2018-01-01,100.8
2018-04-01,100.7
2018-07-01,99.8
2018-10-01,98.9
2019-01-01,99.0
2019-04-01,100.4
2019-07-01,102.2
2019-10-01,103.3
2020-01-01,104.4
2020-04-01,108.5
2020-07-01,111.2
2020-10-01,113.4
2021-01-01,113.0
2021-04-01,109.3
2021-07-01,103.7
2021-10-01,95.9
2022-01-01,88.5
2022-04-01,82.5
2022-07-01,75.4
2022-10-01,74.6
2023-01-01,75.7
2023-04-01,78.4
2023-07-01,85.1
2023-10-01,86.9
2024-01-01,87.9
2024-04-01,88.1
2024-07-01,88.3
2024-10-01,88.6
2025-01-01,87.4
