Tarih,TP_BISTOPKREDI_QGR2
2000-01-01,12.4
2000-04-01,13.0
2000-07-01,14.1
2000-10-01,15.2
2001-01-01,15.9
2001-04-01,16.9
2001-07-01,18.1
2001-10-01,19.3
2002-01-01,20.2
2002-04-01,21.2
2002-07-01,22.5
2002-10-01,23.7
2003-01-01,24.4
2003-04-01,25.4
2003-07-01,26.4
2003-10-01,27.5
2004-01-01,28.5
2004-04-01,29.9
2004-07-01,31.2
2004-10-01,33.1
2005-01-01,34.6
2005-04-01,36.5
2005-07-01,38.7
2005-10-01,41.1
2006-01-01,42.3
2006-04-01,43.6
2006-07-01,44.9
2006-10-01,46.4
2007-01-01,47.8
2007-04-01,49.3
2007-07-01,50.8
2007-10-01,52.5
2008-01-01,53.6
2008-04-01,54.9
2008-07-01,56.0
2008-10-01,56.7
2009-01-01,57.3
2009-04-01,57.7
2009-07-01,58.6
2009-10-01,59.0
2010-01-01,58.7
2010-04-01,59.3
2010-07-01,60.8
2010-10-01,62.0
2011-01-01,63.0
2011-04-01,63.8
2011-07-01,64.3
2011-10-01,65.1
2012-01-01,65.8
2012-04-01,66.9
2012-07-01,66.3
2012-10-01,66.8
2013-01-01,66.8
2013-04-01,66.8
2013-07-01,66.8
2013-10-01,66.8
2014-01-01,67.1
2014-04-01,66.7
2014-07-01,65.7
2014-10-01,65.0
2015-01-01,64.6
2015-04-01,64.2
2015-07-01,63.7
2015-10-01,63.2
2016-01-01,62.8
2016-04-01,62.4
2016-07-01,61.8
2016-10-01,61.3
2017-01-01,60.4
2017-04-01,59.7
2017-07-01,59.0
2017-10-01,58.2
2018-01-01,58.5
2018-04-01,57.9
2018-07-01,58.4
2018-10-01,58.5
2019-01-01,57.6
2019-04-01,56.6
2019-07-01,55.8
2019-10-01,55.6
2020-01-01,55.5
2020-04-01,57.1
2020-07-01,58.2
2020-10-01,58.6
2021-01-01,58.4
2021-04-01,58.1
2021-07-01,56.5
2021-10-01,54.9
2022-01-01,53.8
2022-04-01,52.0
2022-07-01,50.2
2022-10-01,45.1
2023-01-01,43.9
2023-04-01,42.8
2023-07-01,41.9
2023-10-01,40.9
2024-01-01,40.3
2024-04-01,39.7
2024-07-01,39.3
2024-10-01,39.0
2025-01-01,38.9
