Tarih,TP_BISTOPKREDI_QFR3
2000-01-01,100.6
2000-04-01,102.0
2000-07-01,103.9
2000-10-01,104.8
2001-01-01,106.3
2001-04-01,108.2
2001-07-01,108.9
2001-10-01,109.7
2002-01-01,110.2
2002-04-01,109.7
2002-07-01,109.0
2002-10-01,109.2
2003-01-01,109.9
2003-04-01,109.9
2003-07-01,108.8
2003-10-01,107.1
2004-01-01,107.1
2004-04-01,107.9
2004-07-01,108.2
2004-10-01,108.2
2005-01-01,107.9
2005-04-01,109.1
2005-07-01,108.6
2005-10-01,109.1
2006-01-01,109.4
2006-04-01,110.1
2006-07-01,110.1
2006-10-01,110.8
2007-01-01,111.1
2007-04-01,112.6
2007-07-01,112.9
2007-10-01,112.3
2008-01-01,112.7
2008-04-01,115.0
2008-07-01,116.7
2008-10-01,117.2
2009-01-01,118.6
2009-04-01,120.0
2009-07-01,120.7
2009-10-01,120.6
2010-01-01,120.3
2010-04-01,119.4
2010-07-01,119.0
2010-10-01,119.7
2011-01-01,120.0
2011-04-01,122.1
2011-07-01,124.2
2011-10-01,125.2
2012-01-01,127.2
2012-04-01,129.1
2012-07-01,129.3
2012-10-01,129.3
2013-01-01,129.0
2013-04-01,127.3
2013-07-01,127.4
2013-10-01,126.8
2014-01-01,128.5
2014-04-01,130.7
2014-07-01,132.0
2014-10-01,132.9
2015-01-01,135.6
2015-04-01,135.7
2015-07-01,136.1
2015-10-01,137.8
2016-01-01,137.2
2016-04-01,139.2
2016-07-01,139.9
2016-10-01,140.8
2017-01-01,142.8
2017-04-01,142.6
2017-07-01,142.2
2017-10-01,142.1
2018-01-01,143.3
2018-04-01,144.8
2018-07-01,145.4
2018-10-01,145.4
2019-01-01,147.6
2019-04-01,148.8
2019-07-01,150.2
2019-10-01,149.8
2020-01-01,153.2
2020-04-01,165.6
2020-07-01,168.7
2020-10-01,171.5
2021-01-01,169.8
2021-04-01,164.4
2021-07-01,162.3
2021-10-01,161.3
2022-01-01,160.2
2022-04-01,159.4
2022-07-01,160.2
2022-10-01,159.8
2023-01-01,157.9
2023-04-01,156.1
2023-07-01,154.9
2023-10-01,154.6
2024-01-01,152.5
2024-04-01,153.4
2024-07-01,154.3
2024-10-01,155.0
2025-01-01,154.8
