Tarih,TP_BISTOPKREDI_QBE3
2000-01-01,97.0
2000-04-01,99.7
2000-07-01,102.5
2000-10-01,105.4
2001-01-01,106.7
2001-04-01,108.7
2001-07-01,110.9
2001-10-01,113.1
2002-01-01,112.5
2002-04-01,111.6
2002-07-01,111.1
2002-10-01,109.8
2003-01-01,108.9
2003-04-01,111.4
2003-07-01,113.8
2003-10-01,116.1
2004-01-01,116.8
2004-04-01,117.3
2004-07-01,117.6
2004-10-01,118.0
2005-01-01,116.6
2005-04-01,115.5
2005-07-01,114.6
2005-10-01,113.6
2006-01-01,113.2
2006-04-01,113.7
2006-07-01,114.1
2006-10-01,113.6
2007-01-01,116.1
2007-04-01,118.6
2007-07-01,121.2
2007-10-01,123.0
2008-01-01,127.0
2008-04-01,131.2
2008-07-01,135.4
2008-10-01,142.2
2009-01-01,145.0
2009-04-01,147.3
2009-07-01,148.9
2009-10-01,148.6
2010-01-01,145.8
2010-04-01,144.8
2010-07-01,139.7
2010-10-01,136.4
2011-01-01,137.8
2011-04-01,140.3
2011-07-01,141.3
2011-10-01,143.2
2012-01-01,147.1
2012-04-01,150.1
2012-07-01,150.2
2012-10-01,147.8
2013-01-01,150.9
2013-04-01,154.2
2013-07-01,149.6
2013-10-01,148.0
2014-01-01,142.5
2014-04-01,142.4
2014-07-01,143.8
2014-10-01,146.5
2015-01-01,155.5
2015-04-01,147.0
2015-07-01,153.4
2015-10-01,149.2
2016-01-01,166.0
2016-04-01,170.7
2016-07-01,169.6
2016-10-01,169.7
2017-01-01,164.6
2017-04-01,161.2
2017-07-01,156.5
2017-10-01,157.0
2018-01-01,153.8
2018-04-01,153.9
2018-07-01,150.4
2018-10-01,151.4
2019-01-01,153.0
2019-04-01,150.9
2019-07-01,155.0
2019-10-01,150.7
2020-01-01,148.6
2020-04-01,150.7
2020-07-01,149.4
2020-10-01,155.6
2021-01-01,155.4
2021-04-01,149.2
2021-07-01,148.7
2021-10-01,143.9
2022-01-01,138.8
2022-04-01,138.5
2022-07-01,137.8
2022-10-01,131.4
2023-01-01,130.6
2023-04-01,128.7
2023-07-01,127.0
2023-10-01,125.7
2024-01-01,126.7
2024-04-01,125.3
2024-07-01,123.4
2024-10-01,122.7
2025-01-01,120.6
