Tarih,TP_BISTOPKREDI_QSE3
2000-01-01,103.2
2000-04-01,104.5
2000-07-01,103.3
2000-10-01,102.7
2001-01-01,103.7
2001-04-01,106.0
2001-07-01,108.9
2001-10-01,115.8
2002-01-01,114.7
2002-04-01,114.2
2002-07-01,114.3
2002-10-01,111.4
2003-01-01,107.1
2003-04-01,112.8
2003-07-01,110.5
2003-10-01,109.3
2004-01-01,105.0
2004-04-01,101.2
2004-07-01,96.4
2004-10-01,95.0
2005-01-01,93.1
2005-04-01,92.7
2005-07-01,91.6
2005-10-01,93.9
2006-01-01,93.6
2006-04-01,93.8
2006-07-01,91.8
2006-10-01,88.8
2007-01-01,89.9
2007-04-01,92.5
2007-07-01,88.6
2007-10-01,94.1
2008-01-01,102.0
2008-04-01,103.6
2008-07-01,106.3
2008-10-01,107.9
2009-01-01,104.1
2009-04-01,104.1
2009-07-01,103.8
2009-10-01,103.6
2010-01-01,98.5
2010-04-01,91.5
2010-07-01,92.8
2010-10-01,93.4
2011-01-01,100.5
2011-04-01,103.0
2011-07-01,101.5
2011-10-01,101.2
2012-01-01,101.7
2012-04-01,101.7
2012-07-01,106.7
2012-10-01,109.9
2013-01-01,114.8
2013-04-01,117.1
2013-07-01,119.7
2013-10-01,123.1
2014-01-01,124.7
2014-04-01,129.0
2014-07-01,133.8
2014-10-01,132.3
2015-01-01,129.5
2015-04-01,133.4
2015-07-01,133.0
2015-10-01,137.7
2016-01-01,137.3
2016-04-01,138.9
2016-07-01,138.6
2016-10-01,136.6
2017-01-01,134.5
2017-04-01,138.2
2017-07-01,135.5
2017-10-01,138.1
2018-01-01,135.3
2018-04-01,137.8
2018-07-01,137.0
2018-10-01,138.1
2019-01-01,139.8
2019-04-01,143.7
2019-07-01,144.5
2019-10-01,151.4
2020-01-01,154.5
2020-04-01,160.5
2020-07-01,163.6
2020-10-01,170.3
2021-01-01,163.0
2021-04-01,163.3
2021-07-01,154.8
2021-10-01,148.1
2022-01-01,137.8
2022-04-01,124.8
2022-07-01,120.5
2022-10-01,120.5
2023-01-01,116.5
2023-04-01,127.0
2023-07-01,126.4
2023-10-01,128.4
2024-01-01,125.8
2024-04-01,126.8
2024-07-01,121.1
2024-10-01,122.8
2025-01-01,126.5
