Tarih,TP_BISTOPKREDI_QIL2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,50.8
2002-04-01,50.7
2002-07-01,51.1
2002-10-01,51.4
2003-01-01,52.3
2003-04-01,53.8
2003-07-01,56.3
2003-10-01,58.2
2004-01-01,60.1
2004-04-01,62.9
2004-07-01,66.8
2004-10-01,69.8
2005-01-01,71.5
2005-04-01,74.7
2005-07-01,78.2
2005-10-01,81.1
2006-01-01,84.3
2006-04-01,87.8
2006-07-01,88.9
2006-10-01,91.6
2007-01-01,93.0
2007-04-01,94.0
2007-07-01,96.0
2007-10-01,97.7
2008-01-01,100.6
2008-04-01,103.4
2008-07-01,105.9
2008-10-01,107.8
2009-01-01,110.2
2009-04-01,112.4
2009-07-01,115.4
2009-10-01,117.3
2010-01-01,116.5
2010-04-01,114.2
2010-07-01,113.0
2010-10-01,112.4
2011-01-01,111.5
2011-04-01,109.1
2011-07-01,107.3
2011-10-01,105.2
2012-01-01,102.7
2012-04-01,101.0
2012-07-01,99.4
2012-10-01,97.8
2013-01-01,101.1
2013-04-01,99.3
2013-07-01,97.6
2013-10-01,94.3
2014-01-01,92.7
2014-04-01,83.5
2014-07-01,82.8
2014-10-01,79.0
2015-01-01,72.0
2015-04-01,66.8
2015-07-01,60.8
2015-10-01,58.0
2016-01-01,56.0
2016-04-01,54.9
2016-07-01,56.1
2016-10-01,54.8
2017-01-01,62.3
2017-04-01,58.5
2017-07-01,56.1
2017-10-01,54.6
2018-01-01,52.3
2018-04-01,49.6
2018-07-01,49.5
2018-10-01,48.1
2019-01-01,46.2
2019-04-01,45.3
2019-07-01,44.1
2019-10-01,41.4
2020-01-01,36.2
2020-04-01,35.9
2020-07-01,34.0
2020-10-01,34.2
2021-01-01,33.8
2021-04-01,32.1
2021-07-01,30.7
2021-10-01,29.9
2022-01-01,31.3
2022-04-01,30.3
2022-07-01,29.1
2022-10-01,27.5
2023-01-01,26.4
2023-04-01,26.8
2023-07-01,27.0
2023-10-01,28.1
2024-01-01,29.6
2024-04-01,29.8
2024-07-01,29.3
2024-10-01,28.0
2025-01-01,26.4
