Tarih,TP_BISTOPKREDI_QFI2
2000-01-01,31.2
2000-04-01,31.4
2000-07-01,31.8
2000-10-01,31.6
2001-01-01,31.5
2001-04-01,31.6
2001-07-01,31.8
2001-10-01,32.1
2002-01-01,32.3
2002-04-01,32.9
2002-07-01,33.7
2002-10-01,34.6
2003-01-01,34.9
2003-04-01,36.1
2003-07-01,37.4
2003-10-01,38.1
2004-01-01,38.6
2004-04-01,39.8
2004-07-01,40.6
2004-10-01,41.4
2005-01-01,41.8
2005-04-01,43.3
2005-07-01,44.6
2005-10-01,46.3
2006-01-01,46.9
2006-04-01,48.1
2006-07-01,48.9
2006-10-01,49.7
2007-01-01,49.9
2007-04-01,50.4
2007-07-01,50.9
2007-10-01,50.9
2008-01-01,51.0
2008-04-01,51.8
2008-07-01,52.3
2008-10-01,52.6
2009-01-01,53.7
2009-04-01,55.4
2009-07-01,57.3
2009-10-01,59.0
2010-01-01,59.8
2010-04-01,60.4
2010-07-01,58.9
2010-10-01,58.9
2011-01-01,58.4
2011-04-01,58.7
2011-07-01,58.8
2011-10-01,59.1
2012-01-01,59.3
2012-04-01,60.2
2012-07-01,60.9
2012-10-01,61.2
2013-01-01,61.7
2013-04-01,61.7
2013-07-01,61.9
2013-10-01,61.8
2014-01-01,61.8
2014-04-01,62.2
2014-07-01,62.6
2014-10-01,62.8
2015-01-01,62.9
2015-04-01,63.3
2015-07-01,63.5
2015-10-01,63.7
2016-01-01,63.6
2016-04-01,64.3
2016-07-01,64.6
2016-10-01,64.7
2017-01-01,64.8
2017-04-01,64.8
2017-07-01,65.2
2017-10-01,64.9
2018-01-01,64.8
2018-04-01,65.2
2018-07-01,65.7
2018-10-01,65.7
2019-01-01,65.8
2019-04-01,66.1
2019-07-01,66.3
2019-10-01,66.2
2020-01-01,66.5
2020-04-01,67.9
2020-07-01,68.9
2020-10-01,69.7
2021-01-01,70.1
2021-04-01,69.7
2021-07-01,69.3
2021-10-01,68.8
2022-01-01,68.1
2022-04-01,67.7
2022-07-01,67.3
2022-10-01,66.6
2023-01-01,65.4
2023-04-01,64.8
2023-07-01,64.7
2023-10-01,64.7
2024-01-01,64.8
2024-04-01,64.7
2024-07-01,64.4
2024-10-01,63.9
2025-01-01,63.5
