Tarih,TP_BISTOPKREDI_QCA3
2000-01-01,84.2
2000-04-01,84.1
2000-07-01,83.8
2000-10-01,82.6
2001-01-01,86.2
2001-04-01,85.8
2001-07-01,87.8
2001-10-01,87.8
2002-01-01,90.6
2002-04-01,90.4
2002-07-01,90.8
2002-10-01,89.8
2003-01-01,87.8
2003-04-01,87.1
2003-07-01,85.6
2003-10-01,84.6
2004-01-01,87.6
2004-04-01,86.1
2004-07-01,84.7
2004-10-01,84.1
2005-01-01,81.2
2005-04-01,81.8
2005-07-01,79.9
2005-10-01,77.4
2006-01-01,77.6
2006-04-01,76.8
2006-07-01,77.6
2006-10-01,78.3
2007-01-01,82.7
2007-04-01,81.1
2007-07-01,81.3
2007-10-01,81.1
2008-01-01,84.2
2008-04-01,82.2
2008-07-01,81.8
2008-10-01,84.0
2009-01-01,85.6
2009-04-01,87.6
2009-07-01,88.9
2009-10-01,88.3
2010-01-01,87.7
2010-04-01,87.4
2010-07-01,86.1
2010-10-01,85.1
2011-01-01,86.1
2011-04-01,85.6
2011-07-01,86.9
2011-10-01,85.4
2012-01-01,86.6
2012-04-01,87.6
2012-07-01,88.9
2012-10-01,89.5
2013-01-01,92.2
2013-04-01,93.9
2013-07-01,94.4
2013-10-01,94.9
2014-01-01,97.3
2014-04-01,97.5
2014-07-01,98.9
2014-10-01,99.0
2015-01-01,104.8
2015-04-01,105.3
2015-07-01,107.3
2015-10-01,108.6
2016-01-01,107.4
2016-04-01,109.2
2016-07-01,110.4
2016-10-01,109.6
2017-01-01,110.8
2017-04-01,110.3
2017-07-01,109.6
2017-10-01,110.0
2018-01-01,110.9
2018-04-01,113.0
2018-07-01,112.3
2018-10-01,113.0
2019-01-01,114.4
2019-04-01,116.4
2019-07-01,117.3
2019-10-01,117.6
2020-01-01,121.9
2020-04-01,129.4
2020-07-01,130.9
2020-10-01,132.4
2021-01-01,132.2
2021-04-01,128.6
2021-07-01,126.9
2021-10-01,125.2
2022-01-01,120.7
2022-04-01,116.0
2022-07-01,115.2
2022-10-01,115.0
2023-01-01,116.5
2023-04-01,116.7
2023-07-01,116.9
2023-10-01,117.5
2024-01-01,116.1
2024-04-01,116.5
2024-07-01,117.1
2024-10-01,116.8
2025-01-01,117.2
