Tarih,TP_BISTOPKREDI_QBR2
2000-01-01,12.2
2000-04-01,13.9
2000-07-01,14.0
2000-10-01,13.9
2001-01-01,14.0
2001-04-01,10.8
2001-07-01,11.0
2001-10-01,11.1
2002-01-01,11.1
2002-04-01,11.2
2002-07-01,10.8
2002-10-01,10.6
2003-01-01,10.2
2003-04-01,10.2
2003-07-01,10.1
2003-10-01,10.1
2004-01-01,10.2
2004-04-01,10.5
2004-07-01,10.9
2004-10-01,11.6
2005-01-01,12.1
2005-04-01,12.4
2005-07-01,12.8
2005-10-01,13.5
2006-01-01,13.5
2006-04-01,13.9
2006-07-01,14.2
2006-10-01,14.9
2007-01-01,14.9
2007-04-01,15.2
2007-07-01,16.1
2007-10-01,17.0
2008-01-01,17.3
2008-04-01,17.8
2008-07-01,18.4
2008-10-01,19.1
2009-01-01,18.9
2009-04-01,19.4
2009-07-01,20.2
2009-10-01,21.0
2010-01-01,20.5
2010-04-01,20.5
2010-07-01,21.4
2010-10-01,22.1
2011-01-01,22.0
2011-04-01,22.2
2011-07-01,22.4
2011-10-01,23.2
2012-01-01,23.2
2012-04-01,23.8
2012-07-01,23.9
2012-10-01,24.5
2013-01-01,24.5
2013-04-01,25.0
2013-07-01,25.4
2013-10-01,25.7
2014-01-01,25.7
2014-04-01,26.1
2014-07-01,26.2
2014-10-01,26.9
2015-01-01,27.1
2015-04-01,27.3
2015-07-01,27.6
2015-10-01,28.0
2016-01-01,27.9
2016-04-01,27.7
2016-07-01,27.7
2016-10-01,27.8
2017-01-01,27.5
2017-04-01,27.6
2017-07-01,27.6
2017-10-01,27.9
2018-01-01,27.8
2018-04-01,27.8
2018-07-01,27.8
2018-10-01,28.4
2019-01-01,28.5
2019-04-01,28.9
2019-07-01,29.2
2019-10-01,30.0
2020-01-01,30.0
2020-04-01,30.2
2020-07-01,31.1
2020-10-01,32.2
2021-01-01,31.8
2021-04-01,31.4
2021-07-01,31.9
2021-10-01,32.5
2022-01-01,32.9
2022-04-01,33.1
2022-07-01,33.7
2022-10-01,34.0
2023-01-01,34.1
2023-04-01,33.6
2023-07-01,34.3
2023-10-01,34.6
2024-01-01,34.9
2024-04-01,35.2
2024-07-01,35.8
2024-10-01,36.4
2025-01-01,36.6
