Tarih,TP_BISTOPKREDI_QPT2
2000-01-01,54.3
2000-04-01,55.7
2000-07-01,56.7
2000-10-01,58.8
2001-01-01,59.3
2001-04-01,60.3
2001-07-01,61.7
2001-10-01,63.4
2002-01-01,64.0
2002-04-01,64.7
2002-07-01,65.8
2002-10-01,67.4
2003-01-01,67.9
2003-04-01,68.8
2003-07-01,70.1
2003-10-01,71.4
2004-01-01,72.3
2004-04-01,73.9
2004-07-01,74.7
2004-10-01,75.7
2005-01-01,76.2
2005-04-01,77.4
2005-07-01,78.3
2005-10-01,79.8
2006-01-01,80.7
2006-04-01,81.7
2006-07-01,82.8
2006-10-01,83.8
2007-01-01,84.0
2007-04-01,84.9
2007-07-01,85.7
2007-10-01,86.8
2008-01-01,87.3
2008-04-01,87.9
2008-07-01,88.3
2008-10-01,88.9
2009-01-01,89.5
2009-04-01,90.8
2009-07-01,91.7
2009-10-01,92.2
2010-01-01,91.6
2010-04-01,91.8
2010-07-01,91.4
2010-10-01,91.1
2011-01-01,90.7
2011-04-01,90.6
2011-07-01,90.6
2011-10-01,90.6
2012-01-01,90.3
2012-04-01,90.4
2012-07-01,90.5
2012-10-01,90.2
2013-01-01,89.6
2013-04-01,88.4
2013-07-01,86.8
2013-10-01,85.5
2014-01-01,83.8
2014-04-01,82.7
2014-07-01,81.7
2014-10-01,80.9
2015-01-01,79.6
2015-04-01,78.2
2015-07-01,77.2
2015-10-01,76.0
2016-01-01,75.0
2016-04-01,74.2
2016-07-01,73.1
2016-10-01,71.6
2017-01-01,70.8
2017-04-01,69.7
2017-07-01,69.1
2017-10-01,68.4
2018-01-01,67.5
2018-04-01,66.9
2018-07-01,66.1
2018-10-01,65.4
2019-01-01,64.6
2019-04-01,64.0
2019-07-01,63.5
2019-10-01,62.9
2020-01-01,63.1
2020-04-01,65.7
2020-07-01,67.0
2020-10-01,68.3
2021-01-01,69.2
2021-04-01,67.4
2021-07-01,66.9
2021-10-01,66.0
2022-01-01,64.4
2022-04-01,63.0
2022-07-01,61.9
2022-10-01,60.3
2023-01-01,58.4
2023-04-01,56.9
2023-07-01,55.7
2023-10-01,54.8
2024-01-01,54.1
2024-04-01,53.8
2024-07-01,53.5
2024-10-01,53.3
2025-01-01,53.6
