Tarih,TP_BISTOPKREDI_QGB2
2000-01-01,63.3
2000-04-01,64.3
2000-07-01,64.8
2000-10-01,65.3
2001-01-01,65.9
2001-04-01,66.8
2001-07-01,68.0
2001-10-01,69.2
2002-01-01,70.3
2002-04-01,71.9
2002-07-01,73.9
2002-10-01,75.0
2003-01-01,75.5
2003-04-01,76.8
2003-07-01,78.2
2003-10-01,79.8
2004-01-01,81.1
2004-04-01,82.6
2004-07-01,84.3
2004-10-01,85.4
2005-01-01,85.5
2005-04-01,86.5
2005-07-01,86.9
2005-10-01,87.4
2006-01-01,87.7
2006-04-01,88.8
2006-07-01,90.5
2006-10-01,91.6
2007-01-01,92.3
2007-04-01,93.5
2007-07-01,94.6
2007-10-01,94.7
2008-01-01,94.9
2008-04-01,95.3
2008-07-01,95.4
2008-10-01,95.3
2009-01-01,95.8
2009-04-01,96.5
2009-07-01,97.3
2009-10-01,98.1
2010-01-01,98.2
2010-04-01,97.0
2010-07-01,96.3
2010-10-01,94.9
2011-01-01,93.8
2011-04-01,93.4
2011-07-01,92.9
2011-10-01,92.3
2012-01-01,91.7
2012-04-01,91.7
2012-07-01,91.4
2012-10-01,90.9
2013-01-01,90.8
2013-04-01,90.3
2013-07-01,90.1
2013-10-01,89.7
2014-01-01,89.0
2014-04-01,88.6
2014-07-01,88.4
2014-10-01,88.3
2015-01-01,87.9
2015-04-01,87.8
2015-07-01,88.2
2015-10-01,88.1
2016-01-01,88.2
2016-04-01,88.5
2016-07-01,88.5
2016-10-01,88.1
2017-01-01,88.1
2017-04-01,87.5
2017-07-01,87.5
2017-10-01,87.2
2018-01-01,86.7
2018-04-01,86.6
2018-07-01,86.8
2018-10-01,86.9
2019-01-01,85.3
2019-04-01,85.7
2019-07-01,85.7
2019-10-01,85.7
2020-01-01,85.6
2020-04-01,88.7
2020-07-01,90.8
2020-10-01,92.9
2021-01-01,94.2
2021-04-01,91.5
2021-07-01,90.1
2021-10-01,87.8
2022-01-01,85.9
2022-04-01,84.6
2022-07-01,83.8
2022-10-01,82.5
2023-01-01,80.9
2023-04-01,79.6
2023-07-01,79.2
2023-10-01,78.4
2024-01-01,77.8
2024-04-01,77.4
2024-07-01,77.2
2024-10-01,76.3
2025-01-01,75.9
