Tarih,TP_BISTOPKREDI_QES1
2000-01-01,62.2
2000-04-01,61.2
2000-07-01,60.3
2000-10-01,60.9
2001-01-01,59.0
2001-04-01,58.3
2001-07-01,57.8
2001-10-01,57.1
2002-01-01,54.9
2002-04-01,55.3
2002-07-01,55.2
2002-10-01,55.1
2003-01-01,53.8
2003-04-01,54.6
2003-07-01,52.1
2003-10-01,50.8
2004-01-01,51.0
2004-04-01,49.9
2004-07-01,48.9
2004-10-01,49.0
2005-01-01,48.5
2005-04-01,48.6
2005-07-01,46.9
2005-10-01,46.0
2006-01-01,44.1
2006-04-01,42.4
2006-07-01,42.3
2006-10-01,41.0
2007-01-01,40.3
2007-04-01,39.3
2007-07-01,37.8
2007-10-01,36.6
2008-01-01,35.7
2008-04-01,35.8
2008-07-01,37.0
2008-10-01,41.7
2009-01-01,45.0
2009-04-01,49.0
2009-07-01,51.9
2009-10-01,55.5
2010-01-01,57.3
2010-04-01,57.7
2010-07-01,59.5
2010-10-01,59.6
2011-01-01,63.9
2011-04-01,65.3
2011-07-01,66.3
2011-10-01,69.4
2012-01-01,73.7
2012-04-01,73.7
2012-07-01,77.2
2012-10-01,90.1
2013-01-01,98.5
2013-04-01,101.1
2013-07-01,103.7
2013-10-01,104.5
2014-01-01,110.0
2014-04-01,113.0
2014-07-01,115.2
2014-10-01,116.8
2015-01-01,118.8
2015-04-01,113.7
2015-07-01,114.5
2015-10-01,114.1
2016-01-01,116.2
2016-04-01,117.3
2016-07-01,117.9
2016-10-01,114.6
2017-01-01,114.2
2017-04-01,114.5
2017-07-01,113.1
2017-10-01,112.7
2018-01-01,114.9
2018-04-01,112.8
2018-07-01,111.9
2018-10-01,110.4
2019-01-01,113.3
2019-04-01,116.8
2019-07-01,117.2
2019-10-01,113.2
2020-01-01,115.1
2020-04-01,129.3
2020-07-01,134.9
2020-10-01,139.4
2021-01-01,141.4
2021-04-01,136.6
2021-07-01,134.8
2021-10-01,129.8
2022-01-01,122.8
2022-04-01,114.4
2022-07-01,109.0
2022-10-01,104.2
2023-01-01,104.5
2023-04-01,103.9
2023-07-01,100.0
2023-10-01,102.3
2024-01-01,103.0
2024-04-01,101.1
2024-07-01,102.5
2024-10-01,99.7
2025-01-01,100.5
