Tarih,TP_BISTOPKREDI_QNL2
2000-01-01,91.1
2000-04-01,92.1
2000-07-01,93.3
2000-10-01,93.7
2001-01-01,93.3
2001-04-01,93.7
2001-07-01,94.2
2001-10-01,94.9
2002-01-01,95.6
2002-04-01,97.0
2002-07-01,98.4
2002-10-01,99.7
2003-01-01,100.9
2003-04-01,102.6
2003-07-01,105.2
2003-10-01,106.8
2004-01-01,107.9
2004-04-01,108.9
2004-07-01,110.2
2004-10-01,110.8
2005-01-01,111.6
2005-04-01,112.3
2005-07-01,113.5
2005-10-01,114.1
2006-01-01,114.2
2006-04-01,114.7
2006-07-01,114.9
2006-10-01,115.6
2007-01-01,116.2
2007-04-01,116.2
2007-07-01,116.5
2007-10-01,115.8
2008-01-01,115.5
2008-04-01,115.6
2008-07-01,115.7
2008-10-01,116.6
2009-01-01,118.3
2009-04-01,120.5
2009-07-01,122.8
2009-10-01,124.9
2010-01-01,125.9
2010-04-01,126.2
2010-07-01,126.3
2010-10-01,126.0
2011-01-01,125.5
2011-04-01,125.5
2011-07-01,125.4
2011-10-01,125.1
2012-01-01,125.2
2012-04-01,125.3
2012-07-01,125.7
2012-10-01,125.6
2013-01-01,125.2
2013-04-01,124.3
2013-07-01,124.5
2013-10-01,122.7
2014-01-01,122.2
2014-04-01,121.7
2014-07-01,121.1
2014-10-01,120.6
2015-01-01,120.8
2015-04-01,120.0
2015-07-01,119.2
2015-10-01,119.0
2016-01-01,119.0
2016-04-01,118.7
2016-07-01,118.6
2016-10-01,117.9
2017-01-01,117.7
2017-04-01,117.0
2017-07-01,116.3
2017-10-01,115.7
2018-01-01,115.0
2018-04-01,114.3
2018-07-01,113.5
2018-10-01,112.9
2019-01-01,112.1
2019-04-01,111.1
2019-07-01,110.1
2019-10-01,109.5
2020-01-01,109.6
2020-04-01,112.1
2020-07-01,113.2
2020-10-01,114.6
2021-01-01,115.4
2021-04-01,112.6
2021-07-01,111.0
2021-10-01,109.0
2022-01-01,107.0
2022-04-01,105.6
2022-07-01,103.8
2022-10-01,101.5
2023-01-01,100.2
2023-04-01,99.3
2023-07-01,98.7
2023-10-01,97.0
2024-01-01,96.1
2024-04-01,95.5
2024-07-01,95.1
2024-10-01,94.2
2025-01-01,94.0
