Tarih,TP_BISTOPKREDI_Q5A3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,84.5
2008-04-01,83.2
2008-07-01,78.6
2008-10-01,78.9
2009-01-01,79.8
2009-04-01,86.3
2009-07-01,90.4
2009-10-01,88.7
2010-01-01,84.9
2010-04-01,81.8
2010-07-01,85.9
2010-10-01,85.1
2011-01-01,86.1
2011-04-01,85.4
2011-07-01,81.6
2011-10-01,81.0
2012-01-01,82.7
2012-04-01,82.0
2012-07-01,85.4
2012-10-01,85.7
2013-01-01,84.9
2013-04-01,85.2
2013-07-01,87.1
2013-10-01,87.4
2014-01-01,88.2
2014-04-01,89.1
2014-07-01,86.2
2014-10-01,85.3
2015-01-01,85.6
2015-04-01,89.1
2015-07-01,90.3
2015-10-01,91.7
2016-01-01,95.7
2016-04-01,95.3
2016-07-01,95.4
2016-10-01,91.4
2017-01-01,93.4
2017-04-01,95.2
2017-07-01,95.9
2017-10-01,96.1
2018-01-01,96.3
2018-04-01,91.7
2018-07-01,90.1
2018-10-01,90.1
2019-01-01,92.3
2019-04-01,93.2
2019-07-01,91.3
2019-10-01,93.0
2020-01-01,94.0
2020-04-01,100.7
2020-07-01,103.8
2020-10-01,107.0
2021-01-01,104.0
2021-04-01,101.1
2021-07-01,97.9
2021-10-01,96.4
2022-01-01,95.9
2022-04-01,92.6
2022-07-01,89.3
2022-10-01,93.4
2023-01-01,95.0
2023-04-01,92.8
2023-07-01,91.2
2023-10-01,93.0
2024-01-01,92.1
2024-04-01,91.7
2024-07-01,94.2
2024-10-01,89.5
2025-01-01,92.1
