Tarih,TP_BISTOPKREDI_QIN2
2000-01-01,36.5
2000-04-01,36.6
2000-07-01,36.2
2000-10-01,35.5
2001-01-01,34.7
2001-04-01,35.0
2001-07-01,35.9
2001-10-01,36.4
2002-01-01,37.0
2002-04-01,37.9
2002-07-01,38.2
2002-10-01,37.4
2003-01-01,36.6
2003-04-01,36.7
2003-07-01,36.8
2003-10-01,37.0
2004-01-01,36.9
2004-04-01,37.0
2004-07-01,36.6
2004-10-01,36.3
2005-01-01,36.0
2005-04-01,36.1
2005-07-01,36.3
2005-10-01,36.6
2006-01-01,35.8
2006-04-01,35.5
2006-07-01,35.5
2006-10-01,34.8
2007-01-01,34.3
2007-04-01,35.0
2007-07-01,35.6
2007-10-01,35.5
2008-01-01,35.3
2008-04-01,35.9
2008-07-01,36.9
2008-10-01,36.8
2009-01-01,36.3
2009-04-01,36.5
2009-07-01,37.2
2009-10-01,37.6
2010-01-01,37.5
2010-04-01,38.2
2010-07-01,38.7
2010-10-01,38.5
2011-01-01,38.5
2011-04-01,39.0
2011-07-01,39.0
2011-10-01,38.6
2012-01-01,38.6
2012-04-01,38.4
2012-07-01,38.7
2012-10-01,38.6
2013-01-01,38.7
2013-04-01,38.7
2013-07-01,39.0
2013-10-01,39.0
2014-01-01,38.6
2014-04-01,39.1
2014-07-01,39.5
2014-10-01,39.6
2015-01-01,39.2
2015-04-01,39.6
2015-07-01,40.0
2015-10-01,40.3
2016-01-01,40.4
2016-04-01,40.8
2016-07-01,41.1
2016-10-01,40.8
2017-01-01,40.9
2017-04-01,41.1
2017-07-01,41.1
2017-10-01,41.1
2018-01-01,41.1
2018-04-01,41.3
2018-07-01,41.3
2018-10-01,41.3
2019-01-01,41.0
2019-04-01,41.2
2019-07-01,41.2
2019-10-01,41.3
2020-01-01,41.5
2020-04-01,42.3
2020-07-01,42.8
2020-10-01,43.2
2021-01-01,43.7
2021-04-01,43.2
2021-07-01,43.6
2021-10-01,43.8
2022-01-01,44.0
2022-04-01,44.5
2022-07-01,44.3
2022-10-01,44.0
2023-01-01,43.3
2023-04-01,42.8
2023-07-01,42.4
2023-10-01,42.1
2024-01-01,41.9
2024-04-01,42.1
2024-07-01,42.5
2024-10-01,42.2
2025-01-01,42.1
