Tarih,TP_BISTOPKREDI_QBR3
2000-01-01,31.8
2000-04-01,31.4
2000-07-01,30.5
2000-10-01,33.0
2001-01-01,34.7
2001-04-01,37.0
2001-07-01,40.2
2001-10-01,38.3
2002-01-01,38.7
2002-04-01,39.3
2002-07-01,45.2
2002-10-01,42.6
2003-01-01,42.3
2003-04-01,39.3
2003-07-01,38.8
2003-10-01,38.5
2004-01-01,36.4
2004-04-01,36.4
2004-07-01,35.0
2004-10-01,33.3
2005-01-01,33.2
2005-04-01,32.8
2005-07-01,32.7
2005-10-01,32.9
2006-01-01,33.1
2006-04-01,33.8
2006-07-01,34.3
2006-10-01,35.1
2007-01-01,33.2
2007-04-01,31.7
2007-07-01,31.1
2007-10-01,30.7
2008-01-01,32.0
2008-04-01,33.4
2008-07-01,34.8
2008-10-01,36.5
2009-01-01,35.7
2009-04-01,36.0
2009-07-01,36.5
2009-10-01,37.0
2010-01-01,35.7
2010-04-01,35.1
2010-07-01,36.1
2010-10-01,36.8
2011-01-01,36.8
2011-04-01,37.1
2011-07-01,37.6
2011-10-01,39.0
2012-01-01,39.3
2012-04-01,40.5
2012-07-01,40.9
2012-10-01,42.1
2013-01-01,42.1
2013-04-01,44.2
2013-07-01,43.6
2013-10-01,45.0
2014-01-01,44.1
2014-04-01,44.0
2014-07-01,45.5
2014-10-01,47.5
2015-01-01,50.2
2015-04-01,49.5
2015-07-01,54.0
2015-10-01,53.9
2016-01-01,50.9
2016-04-01,47.9
2016-07-01,47.1
2016-10-01,46.6
2017-01-01,45.3
2017-04-01,45.1
2017-07-01,43.7
2017-10-01,44.5
2018-01-01,42.8
2018-04-01,44.9
2018-07-01,45.5
2018-10-01,46.0
2019-01-01,45.9
2019-04-01,46.2
2019-07-01,47.0
2019-10-01,47.1
2020-01-01,51.7
2020-04-01,54.4
2020-07-01,55.9
2020-10-01,54.3
2021-01-01,55.2
2021-04-01,50.9
2021-07-01,51.7
2021-10-01,52.4
2022-01-01,49.3
2022-04-01,51.1
2022-07-01,52.0
2022-10-01,52.1
2023-01-01,50.7
2023-04-01,49.8
2023-07-01,51.0
2023-10-01,50.9
2024-01-01,51.5
2024-04-01,53.7
2024-07-01,53.9
2024-10-01,57.1
2025-01-01,55.0
