Tarih,TP_BISTOPKREDI_QSA2
2000-01-01,18.2
2000-04-01,17.9
2000-07-01,17.7
2000-10-01,18.1
2001-01-01,18.5
2001-04-01,19.6
2001-07-01,20.9
2001-10-01,21.4
2002-01-01,22.6
2002-04-01,23.8
2002-07-01,24.3
2002-10-01,24.1
2003-01-01,24.2
2003-04-01,25.0
2003-07-01,26.3
2003-10-01,26.0
2004-01-01,26.5
2004-04-01,28.5
2004-07-01,29.1
2004-10-01,28.5
2005-01-01,28.2
2005-04-01,30.0
2005-07-01,30.4
2005-10-01,29.7
2006-01-01,29.1
2006-04-01,28.5
2006-07-01,28.6
2006-10-01,28.7
2007-01-01,29.0
2007-04-01,29.1
2007-07-01,28.6
2007-10-01,26.3
2008-01-01,23.7
2008-04-01,21.4
2008-07-01,19.8
2008-10-01,20.4
2009-01-01,22.2
2009-04-01,24.9
2009-07-01,27.1
2009-10-01,25.5
2010-01-01,24.5
2010-04-01,24.1
2010-07-01,23.6
2010-10-01,22.5
2011-01-01,21.8
2011-04-01,21.3
2011-07-01,21.0
2011-10-01,20.8
2012-01-01,19.9
2012-04-01,20.7
2012-07-01,21.2
2012-10-01,21.8
2013-01-01,22.9
2013-04-01,23.6
2013-07-01,23.4
2013-10-01,23.3
2014-01-01,23.3
2014-04-01,23.7
2014-07-01,23.6
2014-10-01,24.5
2015-01-01,25.2
2015-04-01,26.2
2015-07-01,27.4
2015-10-01,28.7
2016-01-01,30.3
2016-04-01,31.0
2016-07-01,31.0
2016-10-01,29.9
2017-01-01,29.0
2017-04-01,28.6
2017-07-01,27.9
2017-10-01,27.9
2018-01-01,26.7
2018-04-01,25.5
2018-07-01,25.2
2018-10-01,23.8
2019-01-01,23.5
2019-04-01,23.5
2019-07-01,23.9
2019-10-01,24.8
2020-01-01,25.4
2020-04-01,27.1
2020-07-01,29.3
2020-10-01,31.2
2021-01-01,31.6
2021-04-01,30.3
2021-07-01,29.7
2021-10-01,29.1
2022-01-01,28.3
2022-04-01,27.3
2022-07-01,26.5
2022-10-01,26.2
2023-01-01,26.3
2023-04-01,27.4
2023-07-01,28.2
2023-10-01,28.7
2024-01-01,29.2
2024-04-01,29.5
2024-07-01,30.1
2024-10-01,30.9
2025-01-01,31.3
