Tarih,TP_BISTOPKREDI_QKR3
2000-01-01,89.1
2000-04-01,86.8
2000-07-01,86.1
2000-10-01,84.0
2001-01-01,84.3
2001-04-01,82.5
2001-07-01,82.6
2001-10-01,80.3
2002-01-01,80.6
2002-04-01,79.9
2002-07-01,79.3
2002-10-01,79.0
2003-01-01,79.8
2003-04-01,79.4
2003-07-01,79.0
2003-10-01,77.4
2004-01-01,76.6
2004-04-01,74.9
2004-07-01,74.1
2004-10-01,71.5
2005-01-01,71.4
2005-04-01,71.3
2005-07-01,70.8
2005-10-01,70.5
2006-01-01,71.4
2006-04-01,73.7
2006-07-01,75.7
2006-10-01,77.0
2007-01-01,78.8
2007-04-01,79.9
2007-07-01,80.7
2007-10-01,81.5
2008-01-01,84.6
2008-04-01,87.4
2008-07-01,90.3
2008-10-01,91.4
2009-01-01,93.8
2009-04-01,95.0
2009-07-01,95.6
2009-10-01,94.2
2010-01-01,92.7
2010-04-01,92.5
2010-07-01,91.5
2010-10-01,89.4
2011-01-01,89.7
2011-04-01,89.6
2011-07-01,91.5
2011-10-01,90.1
2012-01-01,90.8
2012-04-01,91.9
2012-07-01,93.0
2012-10-01,91.3
2013-01-01,96.4
2013-04-01,95.7
2013-07-01,95.3
2013-10-01,93.4
2014-01-01,94.1
2014-04-01,94.2
2014-07-01,95.1
2014-10-01,95.0
2015-01-01,94.9
2015-04-01,93.9
2015-07-01,94.0
2015-10-01,93.1
2016-01-01,92.7
2016-04-01,92.1
2016-07-01,90.8
2016-10-01,89.6
2017-01-01,89.0
2017-04-01,89.7
2017-07-01,89.0
2017-10-01,87.8
2018-01-01,88.3
2018-04-01,88.9
2018-07-01,90.0
2018-10-01,90.4
2019-01-01,91.7
2019-04-01,93.5
2019-07-01,94.9
2019-10-01,95.5
2020-01-01,98.5
2020-04-01,101.4
2020-07-01,103.3
2020-10-01,103.6
2021-01-01,104.4
2021-04-01,105.2
2021-07-01,106.1
2021-10-01,106.9
2022-01-01,107.0
2022-04-01,108.4
2022-07-01,110.8
2022-10-01,111.7
2023-01-01,114.3
2023-04-01,114.2
2023-07-01,114.6
2023-10-01,112.9
2024-01-01,112.2
2024-04-01,111.6
2024-07-01,111.2
2024-10-01,110.6
2025-01-01,111.3
