Tarih,TP_BISTOPKREDI_QKR2
2000-01-01,47.9
2000-04-01,47.3
2000-07-01,47.9
2000-10-01,47.6
2001-01-01,48.0
2001-04-01,49.4
2001-07-01,51.4
2001-10-01,52.6
2002-01-01,55.5
2002-04-01,58.6
2002-07-01,61.0
2002-10-01,61.7
2003-01-01,60.9
2003-04-01,60.5
2003-07-01,60.1
2003-10-01,60.6
2004-01-01,59.5
2004-04-01,58.7
2004-07-01,58.3
2004-10-01,58.1
2005-01-01,57.7
2005-04-01,59.3
2005-07-01,60.0
2005-10-01,61.1
2006-01-01,61.2
2006-04-01,62.4
2006-07-01,63.0
2006-10-01,65.0
2007-01-01,65.1
2007-04-01,65.6
2007-07-01,65.9
2007-10-01,66.5
2008-01-01,66.8
2008-04-01,67.6
2008-07-01,67.9
2008-10-01,68.1
2009-01-01,67.6
2009-04-01,68.8
2009-07-01,69.4
2009-10-01,70.1
2010-01-01,69.7
2010-04-01,69.3
2010-07-01,69.6
2010-10-01,70.2
2011-01-01,70.2
2011-04-01,71.4
2011-07-01,71.9
2011-10-01,73.3
2012-01-01,73.0
2012-04-01,72.9
2012-07-01,73.1
2012-10-01,74.0
2013-01-01,73.3
2013-04-01,74.1
2013-07-01,74.1
2013-10-01,74.9
2014-01-01,74.5
2014-04-01,74.5
2014-07-01,75.5
2014-10-01,76.4
2015-01-01,76.4
2015-04-01,77.3
2015-07-01,78.2
2015-10-01,79.2
2016-01-01,79.3
2016-04-01,80.2
2016-07-01,81.4
2016-10-01,82.9
2017-01-01,82.9
2017-04-01,83.5
2017-07-01,84.1
2017-10-01,84.8
2018-01-01,85.1
2018-04-01,85.5
2018-07-01,86.2
2018-10-01,86.8
2019-01-01,86.7
2019-04-01,87.3
2019-07-01,88.3
2019-10-01,89.6
2020-01-01,90.0
2020-04-01,92.5
2020-07-01,94.7
2020-10-01,97.1
2021-01-01,98.3
2021-04-01,98.7
2021-07-01,99.1
2021-10-01,98.7
2022-01-01,97.9
2022-04-01,98.0
2022-07-01,97.6
2022-10-01,97.3
2023-01-01,94.1
2023-04-01,94.1
2023-07-01,94.0
2023-10-01,93.0
2024-01-01,91.2
2024-04-01,90.4
2024-07-01,90.1
2024-10-01,89.6
2025-01-01,89.5
