Tarih,TP_BISTOPKREDI_QFI3
2000-01-01,83.0
2000-04-01,84.1
2000-07-01,89.6
2000-10-01,90.2
2001-01-01,90.0
2001-04-01,90.3
2001-07-01,88.4
2001-10-01,85.3
2002-01-01,92.2
2002-04-01,90.0
2002-07-01,88.6
2002-10-01,85.0
2003-01-01,85.1
2003-04-01,87.0
2003-07-01,86.6
2003-10-01,87.3
2004-01-01,88.4
2004-04-01,89.3
2004-07-01,88.5
2004-10-01,87.5
2005-01-01,87.4
2005-04-01,89.1
2005-07-01,87.8
2005-10-01,87.6
2006-01-01,90.7
2006-04-01,92.6
2006-07-01,93.2
2006-10-01,90.3
2007-01-01,91.3
2007-04-01,92.8
2007-07-01,92.5
2007-10-01,93.9
2008-01-01,93.6
2008-04-01,97.2
2008-07-01,99.9
2008-10-01,103.5
2009-01-01,107.6
2009-04-01,111.6
2009-07-01,107.1
2009-10-01,106.2
2010-01-01,109.4
2010-04-01,112.2
2010-07-01,111.9
2010-10-01,108.3
2011-01-01,109.7
2011-04-01,109.2
2011-07-01,108.8
2011-10-01,109.4
2012-01-01,110.2
2012-04-01,110.0
2012-07-01,109.9
2012-10-01,110.9
2013-01-01,115.1
2013-04-01,115.1
2013-07-01,114.9
2013-10-01,115.2
2014-01-01,114.3
2014-04-01,114.2
2014-07-01,114.2
2014-10-01,120.7
2015-01-01,125.3
2015-04-01,128.4
2015-07-01,130.8
2015-10-01,126.9
2016-01-01,123.7
2016-04-01,121.4
2016-07-01,118.8
2016-10-01,116.3
2017-01-01,118.0
2017-04-01,119.8
2017-07-01,121.8
2017-10-01,123.3
2018-01-01,123.1
2018-04-01,123.7
2018-07-01,123.2
2018-10-01,121.4
2019-01-01,122.1
2019-04-01,120.3
2019-07-01,120.0
2019-10-01,118.5
2020-01-01,118.9
2020-04-01,121.8
2020-07-01,122.1
2020-10-01,123.1
2021-01-01,125.2
2021-04-01,124.2
2021-07-01,123.4
2021-10-01,122.2
2022-01-01,122.9
2022-04-01,122.1
2022-07-01,121.6
2022-10-01,122.2
2023-01-01,122.1
2023-04-01,121.2
2023-07-01,120.1
2023-10-01,119.1
2024-01-01,118.9
2024-04-01,118.5
2024-07-01,118.6
2024-10-01,118.0
2025-01-01,117.3
