Tarih,TP_BISTOPKREDI_QUS3
2000-01-01,65.4
2000-04-01,66.1
2000-07-01,65.9
2000-10-01,66.0
2001-01-01,65.8
2001-04-01,66.6
2001-07-01,66.7
2001-10-01,66.8
2002-01-01,66.8
2002-04-01,66.7
2002-07-01,66.4
2002-10-01,66.3
2003-01-01,65.8
2003-04-01,65.5
2003-07-01,65.0
2003-10-01,64.2
2004-01-01,64.3
2004-04-01,64.0
2004-07-01,63.9
2004-10-01,64.2
2005-01-01,64.1
2005-04-01,64.5
2005-07-01,64.4
2005-10-01,64.9
2006-01-01,65.3
2006-04-01,66.1
2006-07-01,66.3
2006-10-01,67.3
2007-01-01,68.1
2007-04-01,69.7
2007-07-01,71.0
2007-10-01,72.2
2008-01-01,73.0
2008-04-01,73.9
2008-07-01,74.3
2008-10-01,74.8
2009-01-01,74.6
2009-04-01,74.7
2009-07-01,74.2
2009-10-01,72.8
2010-01-01,72.1
2010-04-01,70.9
2010-07-01,70.3
2010-10-01,69.1
2011-01-01,68.6
2011-04-01,68.4
2011-07-01,68.4
2011-10-01,68.5
2012-01-01,68.3
2012-04-01,68.3
2012-07-01,68.7
2012-10-01,69.3
2013-01-01,69.1
2013-04-01,69.6
2013-07-01,70.1
2013-10-01,70.1
2014-01-01,70.7
2014-04-01,71.0
2014-07-01,71.2
2014-10-01,71.9
2015-01-01,72.3
2015-04-01,73.2
2015-07-01,73.5
2015-10-01,73.8
2016-01-01,74.9
2016-04-01,75.3
2016-07-01,75.8
2016-10-01,75.4
2017-01-01,76.2
2017-04-01,76.7
2017-07-01,76.9
2017-10-01,77.5
2018-01-01,77.4
2018-04-01,78.5
2018-07-01,78.2
2018-10-01,78.4
2019-01-01,78.9
2019-04-01,79.0
2019-07-01,79.0
2019-10-01,78.5
2020-01-01,82.0
2020-04-01,86.6
2020-07-01,86.4
2020-10-01,86.6
2021-01-01,87.0
2021-04-01,84.9
2021-07-01,83.6
2021-10-01,82.8
2022-01-01,82.4
2022-04-01,81.6
2022-07-01,80.3
2022-10-01,79.3
2023-01-01,78.8
2023-04-01,77.8
2023-07-01,76.8
2023-10-01,75.9
2024-01-01,75.6
2024-04-01,75.2
2024-07-01,74.8
2024-10-01,73.8
2025-01-01,73.7
