Tarih,TP_BISTOPKREDI_QAU2
2000-01-01,45.2
2000-04-01,45.5
2000-07-01,46.1
2000-10-01,45.2
2001-01-01,45.2
2001-04-01,46.0
2001-07-01,47.0
2001-10-01,45.5
2002-01-01,45.6
2002-04-01,45.8
2002-07-01,46.1
2002-10-01,46.4
2003-01-01,46.7
2003-04-01,46.8
2003-07-01,46.9
2003-10-01,46.9
2004-01-01,47.0
2004-04-01,48.0
2004-07-01,48.3
2004-10-01,47.9
2005-01-01,47.9
2005-04-01,48.5
2005-07-01,48.9
2005-10-01,52.2
2006-01-01,52.9
2006-04-01,52.9
2006-07-01,53.0
2006-10-01,52.6
2007-01-01,53.0
2007-04-01,52.3
2007-07-01,52.1
2007-10-01,51.8
2008-01-01,51.9
2008-04-01,51.4
2008-07-01,51.6
2008-10-01,52.4
2009-01-01,52.3
2009-04-01,52.7
2009-07-01,53.5
2009-10-01,53.7
2010-01-01,53.9
2010-04-01,54.6
2010-07-01,54.5
2010-10-01,54.8
2011-01-01,53.5
2011-04-01,54.0
2011-07-01,53.6
2011-10-01,53.4
2012-01-01,53.1
2012-04-01,52.8
2012-07-01,52.6
2012-10-01,52.2
2013-01-01,52.0
2013-04-01,51.8
2013-07-01,52.1
2013-10-01,51.8
2014-01-01,51.9
2014-04-01,51.8
2014-07-01,51.9
2014-10-01,51.6
2015-01-01,52.1
2015-04-01,51.8
2015-07-01,51.5
2015-10-01,51.3
2016-01-01,50.7
2016-04-01,50.5
2016-07-01,50.7
2016-10-01,51.0
2017-01-01,50.8
2017-04-01,50.6
2017-07-01,50.4
2017-10-01,50.2
2018-01-01,49.6
2018-04-01,49.4
2018-07-01,49.8
2018-10-01,49.5
2019-01-01,49.3
2019-04-01,49.4
2019-07-01,49.6
2019-10-01,49.4
2020-01-01,49.6
2020-04-01,51.3
2020-07-01,52.1
2020-10-01,52.9
2021-01-01,53.7
2021-04-01,52.7
2021-07-01,52.5
2021-10-01,51.7
2022-01-01,50.7
2022-04-01,50.1
2022-07-01,49.3
2022-10-01,48.3
2023-01-01,46.7
2023-04-01,45.9
2023-07-01,45.4
2023-10-01,44.9
2024-01-01,44.5
2024-04-01,44.3
2024-07-01,44.1
2024-10-01,43.7
2025-01-01,43.4
