Tarih,TP_BISTOPKREDI_QGB1
2000-01-01,41.9
2000-04-01,42.1
2000-07-01,41.0
2000-10-01,41.3
2001-01-01,39.1
2001-04-01,38.1
2001-07-01,37.6
2001-10-01,37.3
2002-01-01,36.5
2002-04-01,37.4
2002-07-01,38.2
2002-10-01,38.5
2003-01-01,38.1
2003-04-01,38.6
2003-07-01,38.5
2003-10-01,39.0
2004-01-01,39.1
2004-04-01,40.1
2004-07-01,40.7
2004-10-01,42.5
2005-01-01,41.5
2005-04-01,43.4
2005-07-01,43.4
2005-10-01,44.6
2006-01-01,43.5
2006-04-01,43.9
2006-07-01,44.5
2006-10-01,44.5
2007-01-01,43.3
2007-04-01,43.1
2007-07-01,44.1
2007-10-01,45.8
2008-01-01,45.2
2008-04-01,45.4
2008-07-01,48.6
2008-10-01,55.4
2009-01-01,57.6
2009-04-01,60.7
2009-07-01,65.9
2009-10-01,68.8
2010-01-01,74.8
2010-04-01,78.3
2010-07-01,82.7
2010-10-01,81.6
2011-01-01,80.8
2011-04-01,85.0
2011-07-01,90.3
2011-10-01,95.3
2012-01-01,94.3
2012-04-01,95.9
2012-07-01,96.5
2012-10-01,97.3
2013-01-01,98.4
2013-04-01,95.1
2013-07-01,94.3
2013-10-01,93.4
2014-01-01,94.6
2014-04-01,95.7
2014-07-01,97.6
2014-10-01,104.2
2015-01-01,105.0
2015-04-01,103.0
2015-07-01,104.5
2015-10-01,103.2
2016-01-01,105.7
2016-04-01,113.2
2016-07-01,116.2
2016-10-01,113.5
2017-01-01,112.6
2017-04-01,109.9
2017-07-01,108.2
2017-10-01,111.0
2018-01-01,108.7
2018-04-01,108.7
2018-07-01,106.3
2018-10-01,107.9
2019-01-01,109.5
2019-04-01,110.9
2019-07-01,115.8
2019-10-01,110.9
2020-01-01,114.0
2020-04-01,132.6
2020-07-01,135.7
2020-10-01,141.4
2021-01-01,134.5
2021-04-01,134.0
2021-07-01,131.4
2021-10-01,133.2
2022-01-01,120.1
2022-04-01,106.7
2022-07-01,93.1
2022-10-01,91.7
2023-01-01,91.8
2023-04-01,88.1
2023-07-01,85.2
2023-10-01,91.9
2024-01-01,89.6
2024-04-01,89.4
2024-07-01,90.6
2024-10-01,87.2
2025-01-01,86.6
